Depth [m],FBE4 [unitless]
,16/07/2023 05:53:18,16/07/2023 05:53:19
-232.18282,4277.4878,4550.873
-231.16187,4234.1489,4716.5679
-230.14091,4314.5039,3901.8303
-229.11996,3357.5164,3628.2861
-228.099,4083.855,4128.5132
-227.07805,3505.6289,4113.4365
-226.0571,4237.4277,4187.0503
-225.03615,4199.7051,4356.4487
-224.0152,4324.8892,4481.0195
-222.99425,3947.2729,3971.9995
-221.9733,3720.7437,4360.8838
-220.95235,3728.7375,4344.856
-219.9314,4200.0776,4001.0474
-218.91043,4068.2046,3789.3704
-217.88948,3736.2686,4534.394
-216.86853,4123.7705,3790.9492
-215.84758,4653.7261,4150.7383
-214.82663,4272.2549,4701.4814
-213.80568,4282.334,3839.3301
-212.78473,4102.3276,4607.5854
-211.76378,4000.9678,3745.3748
-210.74283,3424.1218,4069.2122
-209.72186,3975.7976,3776.7559
-208.70091,3304.5386,4263.2793
-207.67996,3947.5142,3912.7029
-206.65901,4247.9409,3760.7561
-205.63806,4257.4761,4017.4155
-204.61711,4231.02,4421.0835
-203.59616,4484.0874,4124.5049
-202.57521,4259.9346,4119.1548
-201.55426,4123.0176,4577.6001
-200.53329,4019.0232,4760.125
-199.51234,4378.3428,4307.6748
-198.49139,4258.02,3922.5273
-197.47044,3472.7263,4053.856
-196.44949,3721.6733,3491.6089
-195.42854,4445.0508,3935.2903
-194.40759,4051.0703,4276.6729
-193.38664,3976.2449,3817.9919
-192.36569,4834.8057,3900.312
-191.34473,3457.6479,3297.334
-190.32378,4445.2046,4296.3657
-189.30283,4642.5239,4030.3958
-188.28188,4113.5713,3174.167
-187.26093,3937.165,4558.2319
-186.23997,4317.084,4145.333
-185.21902,4187.4307,4574.3037
-184.19807,4060.8367,4167.4346
-183.17712,4164.1519,3893.8884
-182.15616,4386.4512,4614.7783
-181.13521,4381.9019,3743.6147
-180.11426,3829.0085,3728.7361
-179.09331,3982.9758,4071.3423
-178.07236,4425.4634,3917.9023
-177.05141,4207.5381,4451.1777
-176.03046,4490.8643,4065.8364
-175.00951,4619.0581,4273.5029
-173.98856,4394.8579,4078.8784
-172.96759,4216.875,3533.959
-171.94664,4378.2275,3907.8174
-170.92569,3580.0034,4117.1133
-169.90474,4431.2998,4354.2441
-168.88379,4201.2803,3985.7825
-167.86284,3405.1262,3593.5662
-166.84189,4506.8745,4235.1641
-165.82094,4078.1921,3658.5601
-164.79999,4607.7935,3949.9919
-163.77902,4192.0742,4573.333
-162.75807,4106.3916,3794.687
-161.73712,3725.3193,4365.0898
-160.71617,4220.4639,4500.188
-159.69522,3963.6433,4351.9111
-158.67427,4512.2646,4134.1626
-157.65332,3520.7283,3694.853
-156.63237,4467.4946,4386.3706
-155.61142,4346.4795,4442.5503
-154.59045,3701.0522,4455.2134
-153.5695,4341.7734,3831.429
-152.54855,4047.1377,4385.9062
-151.5276,4199.5957,4536.1709
-150.50665,3933.6758,4644.9272
-149.4857,4590.6646,3711.8967
-148.46475,4156.1641,3927.6343
-147.4438,4116.0903,3850.2705
-146.42285,4320.0425,3661.8591
-145.40189,4436.6128,4221.7305
-144.38094,4986.5112,4277.8838
-143.35999,4132.3843,4559.5972
-142.33904,3732.2092,4003.6082
-141.31808,4322.6724,4044.9309
-140.29713,4382.1509,4014.9194
-139.27618,3897.8264,4324.9487
-138.25523,3970.2756,4068.0654
-137.23428,3522.4019,3790.4368
-136.21332,3999.7842,4109.6006
-135.19237,3999.6753,3856.3701
-134.17142,4198.6953,4064.6064
-133.15047,4122.0703,4030.0579
-132.12952,4141.895,4445.3735
-131.10857,4567.3784,4305.0791
-130.08762,4193.1597,4051.563
-129.06667,3779.9087,4592.2881
-128.04572,4457.437,3945.6885
-127.02476,3626.2505,4396.5562
-126.00381,4362.5967,3794.2803
-124.98286,3829.7317,4343.0645
-123.9619,4610.9873,3922.8206
-122.94095,4131.0796,4324.9019
-121.92,4150.1069,3852.3501
-120.89905,4182.458,4686.0161
-119.87809,4311.6538,4407.1006
-118.85714,4370.6504,4440.0391
-117.83619,4037.0818,3955.7026
-116.81524,3743.9131,4065.2488
-115.79429,4808.4883,4462.6333
-114.77333,266.7641,58.3932
-113.75238,253.9773,41.5481
-112.73143,270.558,73.696
-111.71048,284.4323,145.6584
-110.68952,309.0545,156.2077
-109.66857,263.7008,111.6735
-108.64762,360.8737,312.3383
-107.62667,274.881,79.4676
-106.60572,263.5619,52.5307
-105.58476,261.3769,72.7936
-104.56381,1637.1934,1588.4686
-103.54286,1509.2853,1530.8702
-102.52191,1525.9612,1535.9247
-101.50095,1684.541,1870.7853
-100.48,1595.6919,1616.0123
-99.45905,1137.0469,1280.2487
-98.4381,713.5743,557.7944
-97.41715,273.6001,143.3898
-96.39619,260.7335,85.0087
-95.37524,254.4606,35.1144
-94.35429,252.871,26.3025
-93.33334,247.668,45.5883
-92.31239,273.4911,122.4636
-91.29144,258.5123,61.2925
-90.27048,256.8759,44.9851
-89.24953,263.8499,32.9126
-88.22858,246.4376,27.9433
-87.20763,248.8186,42.9699
-86.18668,254.8906,37.4605
-85.16573,365.6716,221.4915
-84.14478,258.5328,61.6576
-83.12382,248.7996,34.663
-82.10287,258.3686,55.4709
-81.08192,269.0652,96.1026
-80.06097,268.1398,93.854
-79.04002,265.7132,116.358
-78.01906,1333.922,1203.8169
-76.99811,270.0531,104.6789
-75.97716,253.8036,43.6187
-74.95621,255.2005,69.3031
-73.93525,254.1622,58.4703
-72.9143,277.6779,88.3401
-71.89335,260.2587,104.9689
-70.8724,254.3206,47.6161
-69.85145,259.1857,102.5619
-68.83049,264.6756,88.2167
-67.80954,317.2459,164.2806
-66.78859,395.3267,355.084
-65.76764,269.2183,74.6778
-64.74668,254.9401,74.5289
-63.72573,256.2311,91.4046
-62.70478,271.0277,78.1658
-61.68383,695.8277,844.3068
-60.66288,258.2268,59.7775
-59.64193,261.8185,65.3352
-58.62097,250.4323,34.734
-57.60002,271.2461,109.4214
-56.57907,264.6399,56.2616
-55.55812,258.6686,34.3552
-54.53717,300.8687,242.1405
-53.51621,257.4141,52.9384
-52.49526,251.8482,86.1888
-51.47431,251.6092,72.1976
-50.45336,293.8107,152.4713
-49.4324,260.8364,58.1882
-48.41145,254.4667,59.2401
-47.3905,266.9522,81.1638
-46.36955,251.4214,47.8375
-45.3486,263.3909,71.9988
-44.32764,261.8229,62.0388
-43.30669,261.1928,53.034
-42.28574,251.6322,77.7087
-41.26479,262.699,70.3986
-40.24384,259.257,37.5719
-39.22289,255.7508,47.5159
-38.20193,281.2052,132.4779
-37.18098,253.8183,45.0247
-36.16003,256.2122,43.6625
-35.13908,300.3112,123.7646
-34.11813,266.9814,80.1456
-33.09717,261.6505,62.3995
-32.07622,255.2489,51.3456
-31.05527,247.7853,33.0158
-30.03432,292.6994,112.0581
-29.01336,257.5427,54.9854
-27.99241,263.0975,98.6313
-26.97146,253.5631,55.7055
-25.95051,262.3307,72.1907
-24.92956,252.3984,31.3164
-23.90861,249.7058,43.3011
-22.88765,367.4908,264.3944
-21.8667,272.446,121.4209
-20.84575,272.6359,81.0995
-19.8248,259.6702,34.6128
-18.80384,263.9347,109.7601
-17.78289,260.7658,57.6574
-16.76194,257.0571,44.5573
-15.74099,305.7692,115.0693
-14.72004,250.9048,50.7446
-13.69909,251.4643,54.848
-12.67813,266.498,43.9855
-11.65718,351.8748,303.0128
-10.63623,730.6399,823.3053
-9.61528,1075.6683,1067.8158
-8.59433,2507.4915,2712.0103
-7.57337,2829.6472,2113.4834
-6.55242,3643.0349,3280.5178
-5.53147,3667.397,3651.7788
-4.51052,4643.9248,4303.2368
-3.48956,4304.8926,3959.896
-2.46861,4567.4404,4229.2383
-1.44766,4157.6929,4170.355
-0.42671,4654.8735,4622.4126
0.59424,4390.499,4354.9517
1.6152,4646.812,4744.8618
2.63615,4473.2407,4116.0142
3.6571,2956.3972,2618.2966
4.67805,2719.8728,2321.4102
5.699,2144.834,2078.3384
6.71995,374.9222,395.9276
7.74091,628.3442,474.4465
8.76186,259.7941,45.5652
9.78281,255.5605,50.5333
10.80376,243.9179,48.1406
11.82471,266.9423,65.4044
12.84567,257.6071,68.7398
13.86662,267.9411,60.1303
14.88757,272.1254,108.5083
15.90852,136.1211,71.3346
16.92948,249.6006,56.6566
17.95043,250.9864,43.9381
18.97138,257.8619,64.5711
19.99233,280.0296,152.5001
21.01328,247.5313,33.4168
22.03424,251.0226,55.717
23.05519,257.1319,67.4209
24.07614,250.6383,36.9392
25.09709,254.3264,85.6388
26.11804,253.2214,44.2904
27.13899,369.7263,23.9102
28.15995,246.7726,43.1664
29.1809,253.4985,30.0008
30.20185,294.3921,108.6725
31.2228,252.3601,45.5293
32.24376,254.3054,41.8553
33.26471,259.171,72.2338
34.28566,260.7108,74.9323
35.30661,250.3746,31.6878
36.32756,256.2123,71.1189
37.34851,254.4303,25.0805
38.36947,253.538,42.7085
39.39042,276.1813,110.8647
40.41137,252.2463,40.3253
41.43232,359.2758,251.4799
42.45327,251.3035,40.6987
43.47423,254.7828,42.0327
44.49518,252.8603,53.4377
45.51613,271.9425,111.666
46.53708,253.5027,39.8369
47.55804,252.6765,44.5398
48.57899,259.4004,43.2867
49.59994,253.992,66.0391
50.62089,264.8254,77.5625
51.64184,260.4486,73.5933
52.6628,257.0897,53.1369
53.68375,258.7294,64.1958
54.7047,279.6042,143.719
55.72565,353.0115,275.5717
56.7466,256.9699,44.6436
57.76756,254.1125,94.7248
58.78851,263.644,74.4567
59.80946,298.2668,198.7035
60.83041,261.9457,64.7969
61.85136,255.0869,81.1955
62.87231,258.756,69.4785
63.89327,252.6214,56.2453
64.91422,253.117,32.7847
65.93517,256.4642,26.8177
66.95612,255.5389,62.7135
67.97707,253.1955,46.2223
68.99802,164.5301,50.6339
70.01898,254.2916,35.2667
71.03993,259.0001,79.5789
72.06088,256.2973,26.6141
73.08183,261.3168,73.6237
74.10278,517.1198,644.5936
75.12374,293.2421,135.4936
76.14469,273.3084,91.8408
77.16564,252.1775,28.911
78.18659,254.3225,53.4258
79.20755,252.4906,46.5888
80.2285,256.0555,38.469
81.24945,258.4008,52.5842
82.2704,252.9609,47.5394
83.29135,255.2383,35.5709
84.31231,268.9697,156.3546
85.33326,261.2671,39.1174
86.35421,253.8485,47.0572
87.37516,252.9972,32.9733
88.39612,258.9364,46.2034
89.41707,255.4722,33.2436
90.43802,255.3155,53.8789
91.45897,194.6563,35.4401
92.47992,278.7972,89.9028
93.50088,257.6332,57.2089
94.52183,266.9451,62.8685
95.54278,260.9442,57.8469
96.56373,131.6278,70.4559
97.58469,261.0928,54.4032
98.60564,271.1899,88.0677
99.62659,276.1767,82.857
100.64754,263.9159,71.9714
101.66849,261.1388,56.4282
102.68945,276.4267,113.0455
103.7104,260.6631,50.2637
104.73135,275.2455,85.5373
105.7523,483.7329,113.2732
106.77325,261.5077,48.1043
107.7942,269.3084,78.3157
108.81516,260.4122,65.2932
109.83611,256.3241,44.0778
110.85706,267.0697,70.4776
111.87801,258.3842,83.047
112.89896,257.7283,46.812
113.91991,264.5533,104.8121
114.94086,263.2471,77.9959
115.96182,456.5887,76.5877
116.98277,265.0786,70.5153
118.00372,312.436,199.0677
119.02467,256.9234,44.259
120.04562,254.9841,59.2863
121.06658,368.5486,384.2154
122.08753,277.1723,88.7171
123.10848,252.9342,37.8586
124.12943,124.1196,34.6602
125.15039,257.7713,46.0623
126.17134,282.3864,139.355
127.19229,258.0141,53.062
128.21324,258.7043,50.6329
129.23419,253.5324,33.0874
130.25514,269.882,83.569
131.27609,272.5202,78.1385
132.29706,258.9261,86.6187
133.31801,293.7401,20.911
134.33896,296.3607,192.9136
135.35991,255.8505,41.3178
136.38086,295.5576,127.5135
137.40181,248.6981,24.348
138.42276,253.2052,36.6528
139.44371,254.8166,42.267
140.46466,260.78,65.0245
141.48563,485.2341,47.4313
142.50658,261.6433,81.5466
143.52753,140.1081,58.092
144.54848,273.1944,87.996
145.56943,259.8763,62.3278
146.59038,270.3886,85.9446
147.61133,310.9893,144.6026
148.63228,251.6487,53.8655
149.65323,259.6971,50.9092
150.67419,257.6441,57.6075
151.69514,252.7104,29.0188
152.71609,303.5276,183.781
153.73705,251.9174,23.7003
154.758,248.0395,18.0679
155.77895,252.1621,31.8546
156.7999,263.3636,67.772
157.82085,341.9359,192.8726
158.8418,252.4393,68.1243
159.86276,255.4988,31.6098
160.88371,251.0131,28.9892
161.90466,259.4489,93.8882
162.92561,245.3533,54.2931
163.94656,260.0664,64.5481
164.96751,1731.74,1724.7084
165.98846,251.5016,24.7679
167.00941,258.4612,75.4505
168.03036,270.4363,117.7476
169.05133,269.059,88.5618
170.07228,295.4995,117.7106
171.09323,252.3503,34.9928
172.11418,272.1451,99.9797
173.13513,272.212,61.8832
174.15608,250.5963,29.5709
175.17703,261.7784,66.809
176.19798,253.5542,47.3603
177.21893,338.7404,220.3214
178.23988,259.9009,57.1735
179.26085,253.728,36.1961
180.2818,248.1873,38.6052
181.30275,255.962,34.508
182.3237,253.8219,75.4241
183.34465,281.8708,110.3278
184.3656,261.1471,63.3136
185.38655,279.4195,93.6429
186.4075,266.7114,77.2919
187.42845,280.011,129.0413
188.44942,250.3493,31.2356
189.47037,254.8353,24.8685
190.49132,259.9286,62.9713
191.51227,251.8069,40.0024
192.53322,253.3478,50.7584
193.55417,258.1043,98.2114
194.57512,255.1734,36.8419
195.59607,255.2845,36.1814
196.61702,281.9449,106.6762
197.63799,253.0323,41.2359
198.65894,259.2528,102.4006
199.67989,247.6754,36.8121
200.70084,261.2874,76.1653
201.72179,251.4948,45.33
202.74274,265.6635,63.6847
203.76369,253.4212,40.0265
204.78464,264.2317,58.744
205.80559,245.7198,46.0169
206.82655,272.0719,154.99
207.8475,250.9939,31.2356
208.86845,308.1595,197.4109
209.8894,246.492,32.7248
210.91035,305.6728,220.5553
211.9313,245.6807,28.4341
212.95226,250.0788,27.9028
213.97321,251.5612,63.2339
214.99416,249.5192,44.0453
216.01512,259.8423,78.5206
217.03607,275.055,115.1447
218.05702,271.2751,100.3592
219.07797,255.8846,29.596
220.09892,264.0045,88.0465
221.11987,252.2217,33.8621
222.14082,250.9526,43.1019
223.16177,248.071,29.8821
224.18272,248.6399,26.6008
225.20369,255.1337,66.2308
226.22464,223.053,25.6769
227.24559,251.1962,38.0586
228.26654,253.0767,70.0528
229.28749,265.9999,73.8862
230.30844,120.5802,48.0846
231.32939,262.2163,51.3636
232.35034,555.3857,425.9695
233.37129,276.513,132.1538
234.39226,256.8412,68.0243
235.41321,384.284,31.0928
236.43416,254.1742,41.2208
237.45511,192.719,27.3196
238.47606,261.665,81.2482
239.49701,273.4344,95.3864
240.51796,260.5838,75.5191
241.53891,261.4983,72.8404
242.55986,262.9629,62.4644
243.58083,299.1155,133.5833
244.60178,252.3378,29.0785
245.62273,257.3693,53.8008
246.64368,262.0666,88.2736
247.66463,251.1255,53.9507
248.68558,299.9243,126.241
249.70653,250.219,30.2011
250.72748,247.4332,22.4407
251.74843,252.9335,57.117
252.76939,257.3898,33.2462
253.79034,258.1631,47.4971
254.81129,248.4865,28.6854
255.83224,255.8297,63.1914
256.85318,248.2843,25.2172
257.87415,260.1322,44.3769
258.89511,252.3299,23.4714
259.91605,259.2714,45.7046
260.93701,252.1586,42.4985
261.95795,248.8426,51.5017
262.97891,231.4681,26.9342
263.99985,202.5943,29.181
265.02081,251.8311,39.53
266.04175,252.2278,35.1409
267.06271,261.6715,50.575
268.08368,263.1851,65.4625
269.10461,253.2641,38.5165
270.12558,250.167,19.7003
271.14651,260.6982,54.3339
272.16748,251.7554,35.1626
273.18842,133.4253,39.339
274.20938,252.1136,36.827
275.23032,256.3283,43.2399
276.25128,259.9845,92.1779
277.27225,255.1143,32.774
278.29318,365.3456,38.9686
279.31415,285.9601,123.4381
280.33508,279.0323,97.8056
281.35605,266.0846,93.7103
282.37698,251.809,29.7131
283.39795,245.3835,127.2055
284.41888,249.3733,24.8244
285.43985,315.9606,155.1186
286.46082,251.8808,37.9129
287.48175,267.6936,94.8694
288.50272,252.1725,34.9432
289.52365,256.7277,61.2078
290.54462,120.9209,33.397
291.56555,149.2067,25.5705
292.58652,265.2624,88.3169
293.60745,257.0384,26.2648
294.62842,264.3471,55.5338
295.64938,203.4114,31.7183
296.67032,262.7815,47.3701
297.69128,306.0274,26.8761
298.71222,253.1698,62.7225
299.73318,258.5299,87.1898
300.75412,122.9338,29.1847
301.77509,252.5477,40.2336
302.79602,265.0975,69.0206
303.81699,256.4993,47.9447
304.83795,254.0265,27.3066
305.85889,254.3409,49.1131
306.87985,259.6353,56.1804
307.90079,252.6531,26.6982
308.92175,275.2327,150.2787
309.94269,299.6432,167.0656
310.96365,276.5897,68.7663
311.98459,261.2316,54.2575
313.00555,253.9285,31.9229
314.02652,275.311,147.1773
315.04745,128.476,65.7993
316.06842,255.5759,39.2258
317.08936,257.8182,39.4581
318.11032,263.9755,44.208
319.13126,262.2801,35.8284
320.15222,276.5521,173.8058
321.17316,251.3426,83.7901
322.19412,251.2441,46.8123
323.21509,262.0118,70.7053
324.23602,261.9715,54.5175
325.25699,259.7396,54.9557
326.27792,256.8064,40.3773
327.29889,257.7534,41.274
328.31982,260.0232,69.9759
329.34079,258.5338,60.7935
330.36172,259.672,63.5803
331.38269,258.266,62.6824
332.40366,255.1489,37.5739
333.42459,294.5333,167.3969
334.44556,254.1135,31.2418
335.46649,259.8504,39.3139
336.48746,251.3567,22.8188
337.50839,251.9066,32.252
338.52936,250.8946,60.9675
339.55029,350.961,29.1012
340.57126,249.4023,24.9731
341.59222,273.1833,105.7229
342.61316,258.2404,66.2555
343.63412,266.1362,79.5615
344.65506,252.5735,21.2926
345.67603,250.7357,42.2261
346.69696,255.2191,42.2693
347.71793,283.7551,167.4577
348.73886,263.0638,86.9812
349.75983,286.1248,159.1917
350.78079,250.8976,41.8418
351.80173,256.095,35.5347
352.82269,254.487,29.3078
353.84363,475.3349,35.5083
354.86459,256.2734,34.6721
355.88553,253.6265,71.2768
356.90649,270.046,70.0011
357.92743,329.5313,283.4759
358.94839,254.4453,26.5282
359.96936,276.5983,141.8204
360.9903,271.6251,125.9644
362.01126,218.1475,28.681
363.0322,250.3581,39.1284
364.05316,268.1316,83.6506
365.0741,253.6502,25.8473
366.09506,248.2607,29.0014
367.116,294.3084,184.1758
368.13696,251.8513,24.7051
369.15793,257.0135,39.7658
370.17886,325.9381,226.2645
371.19983,262.3709,91.2077
372.22076,277.5353,174.5104
373.24173,254.1962,25.7915
374.26266,267.8119,89.8876
375.28363,266.1394,65.7001
376.30457,251.421,55.1316
377.32553,251.6879,41.1078
378.3465,273.9927,113.5934
379.36743,271.5974,98.2498
380.3884,249.2348,52.9279
381.40933,254.8357,36.8797
382.4303,252.3546,34.1874
383.45123,254.4213,41.7357
384.4722,461.2574,53.825
385.49313,306.4496,201.7427
386.5141,248.0795,32.0551
387.53506,252.0938,43.5646
388.556,341.3969,226.6093
389.57697,313.8544,220.6702
390.5979,294.2086,135.0871
391.61887,248.1826,21.1626
