Depth [m],FBE4 [unitless]
392.6398,271.198,97.1988
393.66077,271.308,79.3246
394.6817,260.3138,92.4009
395.70267,267.7076,100.6035
396.72363,250.3658,52.274
397.74457,256.0089,44.5997
398.76553,265.8763,69.8783
399.78647,274.212,91.6063
400.80743,253.8182,64.3417
401.82837,253.7665,63.0084
402.84933,155.5491,34.1474
403.87027,255.2243,46.6168
404.89124,252.7497,43.9883
405.9122,337.3089,20.6225
406.93314,264.5361,80.511
407.9541,250.8569,36.39
408.97504,318.6499,193.0404
409.996,246.7458,33.2559
411.01694,253.5739,43.3768
412.0379,250.4032,40.2002
413.05884,256.8661,76.2097
414.0798,252.0928,41.0559
415.10077,260.8592,37.3043
416.1217,246.5499,45.8656
417.14267,249.0434,50.9966
418.1636,250.2691,30.4198
419.18457,258.7785,47.9663
420.20551,251.7986,26.5008
421.22647,255.7857,110.7687
422.24741,249.3218,34.2593
423.26837,253.6724,52.7723
424.28934,250.7976,32.2345
425.31027,248.5724,44.8397
426.33124,249.31,54.0604
427.35217,256.3636,68.3894
428.37314,269.3089,77.407
429.39407,269.1617,60.022
430.41504,267.8807,72.9065
431.43597,251.5591,49.9879
432.45694,249.7663,30.371
433.47791,250.842,29.561
434.49884,253.7795,41.6164
435.51981,304.0824,155.0087
436.54074,259.5002,82.3086
437.56171,250.9775,35.3968
438.58264,253.4463,30.3737
439.60361,258.128,44.6259
440.62454,247.9167,129.7165
441.64551,249.111,22.1441
442.66647,328.9099,252.6171
443.68741,258.3768,50.1115
444.70837,257.0035,49.592
445.72931,252.3589,25.5489
446.75027,251.5866,51.727
447.77121,264.9403,78.7335
448.79218,284.2178,127.7674
449.81311,251.3874,32.5129
450.83408,248.2802,28.1433
451.85504,253.2181,47.3579
452.87598,271.1974,121.5193
453.89694,142.0059,36.5936
454.91788,268.5075,51.5677
455.93884,293.758,143.3095
456.95978,279.7882,119.9889
457.98074,290.1992,220.2136
459.00168,245.4893,34.9148
460.02264,261.9135,95.8811
461.04361,259.4316,64.3423
462.06454,267.495,143.4798
463.08551,302.5806,163.2263
464.10645,298.2465,146.9554
465.12741,433.7338,42.2023
466.14835,264.8533,97.0532
467.16931,252.6972,33.6519
468.19025,253.2559,37.648
469.21121,265.1351,68.4333
470.23218,294.4569,173.7557
471.25311,329.8197,190.6626
472.27408,261.5638,63.3768
473.29501,273.3627,141.1661
474.31598,248.2354,32.212
475.33691,268.4206,52.5843
476.35788,252.9576,29.4887
477.37881,250.0844,41.8672
478.39978,251.4333,28.6049
479.42075,588.9557,723.4732
480.44168,249.1419,18.6738
481.46265,249.2881,43.6765
482.48358,247.3992,17.0525
483.50455,248.5779,29.0389
484.52548,256.1055,29.7883
485.54645,251.8032,60.5669
486.56738,394.7237,195.3726
487.58835,254.8896,42.6874
488.60931,296.4697,165.2469
489.63025,253.995,42.2547
490.65121,299.4846,154.7956
491.67215,254.1086,40.2358
492.69312,254.4193,29.317
493.71405,267.7038,91.4659
494.73502,252.4992,42.136
495.75595,253.0315,67.2043
496.77692,244.8215,57.5745
497.79788,257.26,56.513
498.81882,282.8297,139.6112
499.83978,255.0624,68.2644
500.86072,297.6346,186.5033
501.88168,255.6056,89.783
502.90262,252.937,39.328
503.92358,269.2752,107.0084
504.94452,249.4135,59.615
505.96548,251.0255,33.589
506.98645,268.3184,94.7038
508.00739,254.9644,29.5915
509.02835,257.4426,41.1222
510.04929,261.4309,61.1259
511.07025,266.0238,73.4557
512.09119,263.6428,128.507
513.11212,263.9544,96.6815
514.13312,264.9787,116.1315
515.15405,258.8925,61.7048
516.17499,249.8517,30.7379
517.19598,259.685,24.1942
518.21692,249.4485,29.5117
519.23785,260.1448,58.4027
520.25879,142.0686,83.2096
521.27979,290.1085,24.0492
522.30072,255.0807,33.7315
523.32166,273.8917,103.9155
524.34259,315.6771,175.0056
525.36359,253.7812,27.4017
526.38452,272.4568,108.0392
527.40546,256.8272,41.2689
528.42645,308.0281,148.0559
529.44739,262.5042,66.7205
530.46832,122.4875,28.9271
531.48926,348.7558,271.7724
532.51025,283.152,164.6673
533.53119,252.9197,50.785
534.55212,255.9758,42.2618
535.57312,255.9226,53.2103
536.59406,281.9825,134.3597
537.61499,281.8492,114.4084
538.63593,253.5265,65.6699
539.65692,266.3794,48.5003
540.67786,256.0387,57.718
541.69879,253.6876,62.8775
542.71973,252.8637,43.1855
543.74072,121.566,33.1824
544.76166,325.5245,171.2427
545.78259,274.539,107.9593
546.80359,277.9705,127.2017
547.82452,262.3237,92.5417
548.84546,337.2912,143.5845
549.86639,270.9463,51.6577
550.88739,222.5672,25.5783
551.90833,290.3556,86.3924
552.92926,266.2045,70.7931
553.95026,252.2229,38.584
554.97119,254.961,44.3853
555.99213,254.8267,40.3723
557.01306,263.0949,62.5773
558.03406,452.351,42.8913
559.05499,261.145,89.0505
560.07593,247.9602,50.3436
561.09686,249.1696,55.1358
562.11786,256.9737,50.5911
563.13879,446.895,88.9336
564.15973,262.9438,75.9911
565.18073,540.4484,551.9368
566.20166,249.1512,45.4245
567.2226,275.1314,98.0591
568.24353,251.4778,47.6857
569.26453,258.8617,73.8327
570.28546,252.5024,28.7407
571.3064,251.9955,38.0642
572.32739,271.4351,76.184
573.34833,466.0878,33.6363
574.36926,126.9323,49.2914
575.3902,252.9181,40.9275
576.41119,264.3251,82.2854
577.43213,250.355,38.1193
578.45306,251.866,42.9944
579.474,274.5853,109.43
580.495,246.9855,34.5404
581.51593,257.9474,67.3774
582.53687,268.7461,135.3682
583.55786,253.902,30.6816
584.5788,252.368,74.8374
585.59973,247.1,33.0397
586.62067,248.439,78.3807
587.64166,256.2709,47.1717
588.6626,255.2116,49.3062
589.68353,256.9637,56.2723
590.70453,252.8848,33.8878
591.72546,250.7318,47.5354
592.7464,254.6314,71.2113
593.76733,250.7414,41.2059
594.78833,265.7944,94.1383
595.80927,261.1443,67.3107
596.8302,257.7881,72.3362
597.85114,254.4935,38.747
598.87213,250.8469,25.7913
599.89307,266.1836,43.7323
600.914,261.873,106.0726
601.935,263.8862,108.7878
602.95593,250.418,52.1465
603.97687,257.5042,47.8775
604.9978,249.9428,52.0131
606.0188,253.9351,56.2921
607.03973,258.0848,59.6443
608.06067,319.6454,225.0246
609.08167,257.1948,36.5877
610.1026,255.0333,60.5108
611.12354,252.1493,82.6214
612.14447,282.7761,119.0246
613.16547,484.7309,82.5588
614.1864,251.9284,51.8881
615.20734,250.8687,31.0309
616.22827,255.4975,72.2506
617.24927,253.0448,63.2532
618.2702,249.6477,29.0175
619.29114,250.3771,74.8151
620.31213,258.7786,62.4245
621.33307,247.6345,21.7896
622.354,254.7297,48.4268
623.37494,305.0921,150.8677
624.39594,624.4252,535.8094
625.41687,253.661,32.2206
626.43781,261.5578,66.7651
627.4588,250.4208,31.2618
628.47974,257.1119,60.6528
629.50067,266.5375,73.2148
630.52161,256.8868,75.0583
631.5426,250.0617,28.1776
632.56354,252.7347,42.5484
633.58447,252.1291,25.2271
634.60541,269.3545,111.5734
635.6264,300.1787,152.5969
636.64734,263.3786,69.9901
637.66827,279.5214,107.1197
638.68927,252.5241,41.3173
639.71021,252.6114,63.7117
640.73114,259.6376,59.0637
641.75208,253.9407,56.253
642.77307,253.3764,48.1941
643.79401,252.2955,59.4903
644.81494,251.7259,33.9421
645.83594,258.9684,42.2985
646.85687,251.5359,31.0129
647.87781,250.8054,37.2372
648.89874,253.8252,29.1346
649.91974,249.3514,82.4391
650.94067,254.2718,40.7873
651.96161,280.7192,128.4557
652.98254,252.3678,48.9667
654.00354,288.7955,179.136
655.02448,250.0355,39.8508
656.04541,250.3852,38.5652
657.06641,252.8751,39.4476
658.08734,249.2225,32.5609
659.10828,251.5117,36.7904
660.12921,251.3891,40.7088
661.15021,267.5598,77.459
662.17114,256.1686,72.0112
663.19208,252.5586,52.202
664.21301,254.9692,47.401
665.23401,312.8738,205.211
666.25494,249.0943,60.4909
667.27588,250.3302,43.7062
668.29688,255.8614,50.0272
669.31781,250.0,24.6103
670.33875,251.6859,38.5975
671.35968,274.0712,152.152
672.38068,256.5033,59.7167
673.40161,256.6709,58.1526
674.42255,249.5434,43.2505
675.44354,126.0495,75.2599
676.46448,266.6115,120.6827
677.48541,292.6546,204.0964
678.50635,466.6496,112.6343
679.52734,249.4637,42.4984
680.54828,1303.5225,1472.0978
681.56921,253.3848,57.482
682.59015,249.9429,45.5267
683.61115,303.309,188.4687
684.63208,224.2857,37.8567
685.65302,254.8328,47.7789
686.67401,140.539,23.1767
687.69495,255.2318,71.1218
688.71588,274.1873,114.6399
689.73682,253.8185,37.7334
690.75781,278.4213,82.6314
691.77875,327.9318,159.5509
692.79968,324.4003,265.407
693.82068,134.3076,60.1182
