Depth [m],FBE0 [unitless]
,16/07/2023 05:53:18,16/07/2023 05:53:19
-232.18282,1127.6689,723.268
-231.16187,285.799,91.137
-230.14091,697.23,439.175
-229.11996,617.065,262.784
-228.099,201.717,721.263
-227.07805,1021.501,505.188
-226.0571,317.524,468.377
-225.03615,833.697,116.002
-224.0152,698.622,473.36
-222.99425,72.678,982.344
-221.9733,33.935,607.786
-220.95235,635.872,328.224
-219.9314,749.09,214.811
-218.91043,169.997,282.469
-217.88948,833.668,1071.981
-216.86853,232.726,36.722
-215.84758,422.603,48.829
-214.82663,83.882,816.168
-213.80568,746.276,118.182
-212.78473,903.856,129.927
-211.76378,119.981,509.666
-210.74283,90.03,412.711
-209.72186,115.777,4.204
-208.70091,175.581,60.625
-207.67996,383.816,780.775
-206.65901,54.335,662.429
-205.63806,272.082,606.956
-204.61711,672.756,466.342
-203.59616,408.955,359.518
-202.57521,968.475,11.387
-201.55426,418.191,375.798
-200.53329,614.13,28.627
-199.51234,368.043,591.244
-198.49139,76.936,57.246
-197.47044,830.656,215.887
-196.44949,1.447,16.857
-195.42854,533.191,186.822
-194.40759,129.146,701.849
-193.38664,745.295,1102.684
-192.36569,559.629,362.765
-191.34473,668.714,290.926
-190.32378,708.067,603.187
-189.30283,608.212,468.223
-188.28188,300.225,788.056
-187.26093,449.596,232.743
-186.23997,177.187,446.999
-185.21902,501.295,701.477
-184.19807,1019.303,65.605
-183.17712,770.561,500.406
-182.15616,506.369,258.175
-181.13521,414.047,292.245
-180.11426,594.571,431.772
-179.09331,491.937,373.354
-178.07236,370.561,140.78
-177.05141,125.051,196.329
-176.03046,663.966,951.542
-175.00951,1062.75,661.729
-173.98856,894.325,425.779
-172.96759,791.285,402.462
-171.94664,428.731,320.935
-170.92569,200.572,65.381
-169.90474,83.629,424.324
-168.88379,4.541,271.836
-167.86284,485.339,344.461
-166.84189,806.999,316.466
-165.82094,531.491,751.229
-164.79999,624.781,388.477
-163.77902,561.154,411.012
-162.75807,259.491,885.537
-161.73712,316.157,434.041
-160.71617,480.115,60.069
-159.69522,298.908,693.079
-158.67427,427.161,393.612
-157.65332,678.878,636.048
-156.63237,684.747,268.773
-155.61142,740.953,145.664
-154.59045,565.103,375.074
-153.5695,282.031,470.459
-152.54855,13.913,64.299
-151.5276,438.53,39.676
-150.50665,554.105,169.331
-149.4857,818.378,310.614
-148.46475,745.941,1045.863
-147.4438,1282.548,167.29
-146.42285,567.96,801.253
-145.40189,39.665,232.497
-144.38094,401.707,595.103
-143.35999,118.525,319.007
-142.33904,966.236,204.837
-141.31808,237.926,767.586
-140.29713,425.976,719.673
-139.27618,125.605,237.818
-138.25523,102.059,285.29
-137.23428,480.349,6.338
-136.21332,623.227,21.409
-135.19237,44.837,416.9
-134.17142,583.184,358.698
-133.15047,475.96,891.961
-132.12952,388.019,26.744
-131.10857,178.597,610.836
-130.08762,140.598,367.692
-129.06667,991.337,476.127
-128.04572,4.055,217.868
-127.02476,633.919,318.082
-126.00381,1419.0389,9.516
-124.98286,950.83,424.62
-123.9619,889.821,901.966
-122.94095,546.735,801.155
-121.92,486.221,434.415
-120.89905,774.961,437.688
-119.87809,393.121,830.197
-118.85714,11.057,58.011
-117.83619,113.58,988.202
-116.81524,893.464,693.69
-115.79429,228.3,290.694
-114.77333,26.203,0.383
-113.75238,25.416,0.094
-112.73143,25.404,1.195
-111.71048,25.499,0.395
-110.68952,25.827,1.514
-109.66857,23.139,1.303
-108.64762,24.961,3.59
-107.62667,25.786,0.661
-106.60572,25.683,0.617
-105.58476,24.883,0.318
-104.56381,14.772,13.343
-103.54286,14.598,16.61
-102.52191,13.826,17.333
-101.50095,9.143,23.827
-100.48,15.001,15.674
-99.45905,83.63,68.971
-98.4381,29.668,0.301
-97.41715,24.763,1.846
-96.39619,22.149,2.972
-95.37524,23.196,1.82
-94.35429,23.059,1.945
-93.33334,24.316,0.678
-92.31239,24.496,1.501
-91.29144,24.75,0.491
-90.27048,22.978,1.164
-89.24953,24.505,0.345
-88.22858,24.667,0.431
-87.20763,25.21,0.127
-86.18668,25.497,0.436
-85.16573,24.166,1.813
-84.14478,25.254,0.477
-83.12382,24.526,0.031
-82.10287,25.119,0.432
-81.08192,24.306,1.53
-80.06097,25.297,1.777
-79.04002,25.034,0.929
-78.01906,79.356,6.201
-76.99811,21.834,3.726
-75.97716,24.588,0.325
-74.95621,25.117,1.108
-73.93525,24.706,0.719
-72.9143,26.017,0.884
-71.89335,24.676,1.008
-70.8724,23.557,0.515
-69.85145,23.98,0.947
-68.83049,24.161,0.364
-67.80954,24.447,0.02
-66.78859,25.884,4.721
-65.76764,25.312,0.653
-64.74668,25.179,1.027
-63.72573,24.12,0.145
-62.70478,24.921,0.022
-61.68383,29.844,7.356
-60.66288,25.689,0.814
-59.64193,25.415,0.875
-58.62097,25.62,1.193
-57.60002,24.923,0.229
-56.57907,24.428,0.733
-55.55812,25.129,0.078
-54.53717,24.66,2.166
-53.51621,24.685,0.215
-52.49526,24.926,1.205
-51.47431,25.163,0.571
-50.45336,24.87,1.341
-49.4324,24.953,0.193
-48.41145,24.649,0.73
-47.3905,24.782,0.716
-46.36955,24.517,0.724
