Depth [m],FBE1 [unitless]
,16/07/2023 05:53:18,16/07/2023 05:53:19
-232.18282,764.1253,851.8391
-231.16187,912.2764,1027.5089
-230.14091,878.7149,776.2634
-229.11996,1103.3713,1092.6863
-228.099,925.0026,1302.9995
-227.07805,693.3688,522.2537
-226.0571,965.7872,916.4337
-225.03615,990.6384,831.3376
-224.0152,895.9017,983.3575
-222.99425,1012.9567,1393.6558
-221.9733,1614.4974,1257.8234
-220.95235,2033.7897,1084.8975
-219.9314,796.2259,677.4163
-218.91043,709.9791,1206.8912
-217.88948,1117.2594,1085.2179
-216.86853,1085.9424,974.3178
-215.84758,1396.6786,1076.0548
-214.82663,1108.9673,846.1821
-213.80568,1140.0223,951.6101
-212.78473,1545.7532,1163.45
-211.76378,646.2751,765.8326
-210.74283,940.7447,1022.343
-209.72186,712.7578,1122.3741
-208.70091,991.1934,1096.6967
-207.67996,946.4511,1236.822
-206.65901,748.0931,1227.4746
-205.63806,618.9174,1220.2235
-204.61711,1260.6837,1206.4473
-203.59616,1140.6387,1248.3181
-202.57521,1146.7126,880.2842
-201.55426,1251.4535,898.7915
-200.53329,784.3663,1085.0873
-199.51234,1234.4911,1191.2672
-198.49139,892.3521,1187.3218
-197.47044,985.668,943.5089
-196.44949,1180.6129,1030.3606
-195.42854,860.6458,944.5159
-194.40759,1489.5216,909.9331
-193.38664,1263.6385,919.207
-192.36569,1317.424,1001.7202
-191.34473,606.4153,560.4844
-190.32378,1716.7122,813.5727
-189.30283,1256.121,984.8837
-188.28188,1401.4861,1509.8572
-187.26093,589.6716,1632.3346
-186.23997,762.4952,1271.5924
-185.21902,1271.8212,1014.317
-184.19807,1086.2825,838.4424
-183.17712,905.273,1108.4166
-182.15616,1112.8245,917.4183
-181.13521,1198.2786,739.8337
-180.11426,1073.3088,1115.7804
-179.09331,709.3218,1213.7883
-178.07236,920.9374,798.0157
-177.05141,1311.4967,1382.9395
-176.03046,1303.0452,1019.0963
-175.00951,958.8294,967.3997
-173.98856,1179.4369,1159.9733
-172.96759,1425.0618,527.6075
-171.94664,704.1365,1105.4763
-170.92569,1007.331,1050.0007
