Depth [m],SSTR [unitless]
,16/07/2023 05:53:18,16/07/2023 05:53:19
-49.4324,-35.3338,0.2733
-48.41145,-34.9034,1.0337
-47.3905,-35.0917,-1.0139
-46.36955,-34.7165,1.0252
-45.3486,-35.1922,0.1784
-44.32764,-35.9116,1.838
-43.30669,-35.3395,0.4375
-42.28574,-33.3472,-2.1084
-41.26479,-35.5731,1.2574
-40.24384,-35.1313,-0.262
-39.22289,-34.3327,0.0042
-38.20193,-34.303,-2.3647
-37.18098,-35.2814,0.4333
-36.16003,-35.5816,-0.1048
-35.13908,-36.1254,2.1608
-34.11813,-35.5278,1.6992
-33.09717,-35.4117,-1.0974
-32.07622,-34.8354,0.9119
-31.05527,-34.834,-0.262
-30.03432,-34.1274,-0.0255
-29.01336,-34.5154,0.6457
-27.99241,-35.4372,0.2124
-26.97146,-34.7405,-0.3894
-25.95051,-34.4602,-1.5789
-24.92956,-34.9317,-0.4999
-23.90861,-34.8014,-0.5338
-22.88765,-36.4567,-2.9283
-21.8667,-34.1925,-1.4981
-20.84575,-35.0167,2.1934
-19.8248,-35.4967,0.8071
-18.80384,-34.5225,-2.7811
-17.78289,-36.1721,0.017
-16.76194,-35.5717,0.6259
-15.74099,-39.1401,3.0685
-14.72004,-35.0464,0.0651
-13.69909,-35.3055,0.9969
-12.67813,-35.7884,1.9329
-11.65718,-33.9192,4.0781
-10.63623,-36.0489,4.8583
-9.61528,-100.0868,-227.2507
-8.59433,-326.0702,1224.9301
-7.57337,113.7386,203.0241
-6.55242,-1039.8129,-289.1476
-5.53147,-1026.3762,-145.4687
-4.51052,-914.7178,-294.9221
-3.48956,-489.9456,82.3994
-2.46861,-357.3811,22.9239
-1.44766,-210.8617,461.2246
-0.42671,-604.2011,538.5716
0.59424,-1158.7043,-115.6672
1.6152,-837.0479,-2167.7061
2.63615,1262.1726,-68.0679
3.6571,-416.4346,-333.5014
4.67805,-380.5952,390.5682
5.699,33.755,-99.7243
6.71995,-36.0857,-12.359
7.74091,-93.4443,56.2399
8.76186,-37.8728,-1.8706
9.78281,-37.6519,-5.8085
10.80376,-35.069,-2.7782
11.82471,-38.9433,-0.2478
12.84567,-37.5414,0.4503
13.86662,-37.5527,0.4432
14.88757,-39.3284,0.6018
15.90852,-3.2342,-0.143
16.92948,-36.8221,-0.1543
17.95043,-36.8546,-0.8907
18.97138,-36.6111,-1.1739
19.99233,-36.0277,1.6312
21.01328,-37.0416,0.2875
22.03424,-37.2455,-0.2959
23.05519,-36.1211,-1.2645
24.07614,-36.7187,-0.0864
25.09709,-35.6666,-2.495
26.11804,-36.9722,-1.4132
27.13899,-54.8579,-0.9232
28.15995,-36.8461,-0.1274
29.1809,-36.8277,-0.8199
30.20185,-37.9436,1.981
31.2228,-36.6267,-0.3158
32.24376,-36.5757,-1.3197
33.26471,-36.6309,-1.6808
34.28566,-36.2967,-1.8989
35.30661,-36.3123,-1.2149
36.32756,-36.6536,0.0892
37.34851,-36.7442,-0.6542
38.36947,-36.1679,-1.0153
39.39042,-35.4188,-0.2945
40.41137,-36.2812,-1.6228
41.43232,-34.9218,-5.6542
42.45327,-36.2415,-0.633
43.47423,-37.0812,-0.0368
44.49518,-36.6493,0.5933
45.51613,-36.5105,1.399
46.53708,-36.2967,-1.484
47.55804,-36.4228,-0.3398
48.57899,-37.0373,-1.7375
49.59994,-36.5474,-0.1997
50.62089,-35.6114,-2.3534
51.64184,-36.1126,-0.6854
52.6628,-36.5913,-1.7983
53.68375,-36.6437,-0.2676
54.7047,-35.9158,0.0014
55.72565,-34.2548,-0.4007
56.7466,-36.3562,-0.9006
57.76756,-36.8037,-0.1529
58.78851,-36.4766,-0.5338
59.80946,-37.4451,2.3024
60.83041,-36.7428,0.2251
61.85136,-36.2812,-2.3775
62.87231,-36.4482,0.1968
63.89327,-36.1098,-0.8978
64.91422,-36.4907,-1.2574
65.93517,-36.6422,-1.0946
66.95612,-36.3619,-0.6528
67.97707,-36.495,-0.337
68.99802,-20.2773,-1.2291
70.01898,-35.9895,-1.5604
71.03993,-35.6893,-2.7896
72.06088,-36.4199,-0.7618
73.08183,-36.5743,-0.1713
74.10278,-40.406,6.981
75.12374,-37.9025,-1.6851
76.14469,-35.6793,-0.9133
77.16564,-35.8719,-1.4613
78.18659,-36.4284,-1.375
79.20755,-36.1877,-0.337
80.2285,-36.1056,-0.5253
81.24945,-35.7261,-0.8638
82.2704,-36.1665,-0.9006
83.29135,-35.5788,-1.1979
84.31231,-35.1229,-0.7944
85.33326,-36.5898,-1.2957
86.35421,-35.9045,-0.9742
87.37516,-35.8833,-1.4273
88.39612,-35.6142,-1.2022
89.41707,-35.719,-1.079
90.43802,-35.4457,-1.4585
91.45897,-25.0479,-1.0634
92.47992,-35.8365,-1.9923
93.50088,-35.1002,-1.5902
94.52183,-36.2812,-1.1059
95.54278,-34.7731,-1.8635
96.56373,0.5423,-1.4741
97.58469,-35.2616,-1.4132
98.60564,-35.4542,-0.0255
99.62659,-34.9982,-3.0232
100.64754,-34.5508,-2.0051
101.66849,-34.6825,-2.7542
102.68945,-34.9218,-0.9105
103.7104,-35.0648,-2.015
104.73135,-33.9957,-3.0728
105.7523,-68.8084,-2.8788
106.77325,-35.0889,-2.2557
107.7942,-34.7986,-2.1141
108.81516,-34.64,-2.9198
109.83611,-35.1342,-1.7757
110.85706,-34.9416,-3.6859
111.87801,-34.7334,-3.4083
112.89896,-35.2121,-1.004
113.91991,-34.5295,-3.3163
114.94086,-36.1183,-1.1866
115.96182,-63.8864,-2.2189
116.98277,-35.627,-0.279
118.00372,-32.1804,-2.4214
119.02467,-35.5165,-1.1965
120.04562,-35.1738,-1.0479
121.06658,-34.9997,-2.226
122.08753,-36.0433,-1.7516
123.10848,-35.086,-1.8465
124.12943,-8.1917,-1.3806
125.15039,-35.5052,-1.6553
126.17134,-35.1384,-1.1314
127.19229,-35.7275,-1.2079
128.21324,-36.4213,-0.7491
129.23419,-36.0574,-1.1866
130.25514,-36.0772,-1.3863
131.27609,-37.1775,-0.7108
132.29706,-35.6241,-1.9187
133.31801,-43.0398,-1.2079
134.33896,-37.3687,3.9181
135.35991,-36.7031,-1.045
136.38086,-38.0583,1.964
137.40181,-36.0418,-0.3752
138.42276,-36.6295,-0.3271
139.44371,-36.1466,-0.6528
140.46466,-36.4893,-0.2237
141.48563,-70.6889,-1.062
142.50658,-36.1919,0.4305
143.52753,-12.8603,-0.5423
144.54848,-35.5477,-0.4772
145.56943,-36.3973,-0.6103
146.59038,-37.1152,0.9147
147.61133,-35.6425,-2.1014
148.63228,-35.0875,-0.7944
149.65323,-36.359,-0.6655
150.67419,-35.998,-1.6072
151.69514,-36.529,-0.7038
152.71609,-35.1186,-2.3775
153.73705,-36.4964,-1.188
154.758,-36.2783,-1.0464
155.77895,-35.8733,-1.4727
156.7999,-37.1208,-0.9247
157.82085,-37.38,1.3792
158.8418,-36.1792,0.1416
159.86276,-36.9014,-1.13
160.88371,-35.8592,-1.4245
161.90466,-35.7601,-2.6522
162.92561,-36.2854,-0.1005
163.94656,-36.6238,-0.371
164.96751,610.1073,421.2179
165.98846,-36.1466,-1.0054
167.00941,-35.5916,-1.4302
168.03036,-35.44,-2.8858
169.05133,-36.0957,0.1742
170.07228,-37.5541,-4.3684
171.09323,-36.4936,-0.6726
172.11418,-36.0348,-2.1297
173.13513,-37.2001,-1.2801
174.15608,-36.4964,-0.5707
175.17703,-36.6182,-1.6199
176.19798,-36.7088,-1.8068
177.21893,-34.3355,-3.5839
178.23988,-36.8957,-1.1456
179.26085,-36.4865,-0.6372
180.2818,-36.6564,-0.8666
181.30275,-36.8391,-0.4602
182.3237,-36.5559,0.1388
183.34465,-37.0699,0.3866
184.3656,-37.0685,-0.1883
185.38655,-37.9804,0.2832
186.4075,-36.7541,-1.6242
187.42845,-37.8699,1.3565
188.44942,-36.0772,-1.2716
189.47037,-36.9467,-1.171
190.49132,-36.6776,-1.9668
191.51227,-36.9509,-0.3257
192.53322,-36.4525,-0.2747
193.55417,-36.5006,0.0623
194.57512,-36.6451,0.0821
195.59607,-36.7499,-0.1444
196.61702,-39.0877,1.6355
197.63799,-36.9523,-0.2535
198.65894,-36.8292,-0.0821
199.67989,-36.8815,-0.2436
200.70084,-37.6773,0.2974
201.72179,-36.444,-0.6528
202.74274,-38.0568,0.548
203.76369,-37.1138,0.1671
204.78464,-37.3814,1.5024
205.80559,-37.4564,-0.1713
206.82655,-35.3721,-3.0218
207.8475,-37.5938,-0.5338
208.86845,-36.8716,-1.4542
209.8894,-37.2412,0.5112
210.91035,-37.0968,0.5395
211.9313,-37.5513,-0.1954
212.95226,-37.2596,-0.7321
213.97321,-36.6012,-1.4557
214.99416,-37.5457,-0.0524
