Depth [m],FBE5 [unitless]
,16/07/2023 05:53:18,16/07/2023 05:53:19
-44.32764,723.9995,150.7239
-43.30669,732.1547,162.826
-42.28574,724.3342,177.918
-41.26479,729.7955,164.484
-40.24384,723.4483,96.8413
-39.22289,732.4985,160.6996
-38.20193,765.5589,275.878
-37.18098,715.3513,111.091
-36.16003,719.5398,125.9321
-35.13908,836.6032,406.9453
-34.11813,736.8696,184.2372
-33.09717,721.2818,140.524
-32.07622,727.9425,139.7623
-31.05527,715.9619,82.572
-30.03432,766.815,249.8569
-29.01336,717.7281,128.7134
-27.99241,725.3353,190.9543
-26.97146,723.6731,134.6643
-25.95051,719.5619,137.7774
-24.92956,714.8452,93.565
-23.90861,714.5862,89.2176
-22.88765,1083.0385,725.0344
-21.8667,755.5983,312.1017
-20.84575,724.9527,149.0189
-19.8248,716.5882,84.2075
-18.80384,737.5997,206.7666
-17.78289,727.7333,136.925
-16.76194,722.5653,128.2702
-15.74099,827.3955,283.2932
-14.72004,714.4569,102.0144
-13.69909,717.2194,125.4016
-12.67813,739.3467,181.7813
-11.65718,1183.4291,972.6287
-10.63623,2106.7581,2525.7749
-9.61528,3563.3113,3865.0566
-8.59433,6137.3745,8979.8203
-7.57337,7173.145,5361.9834
-6.55242,8019.4351,7349.1021
-5.53147,8738.4023,7970.6089
-4.51052,9106.2021,8547.3965
-3.48956,8765.3066,8009.3066
-2.46861,8975.7949,8349.9004
-1.44766,9242.6035,8914.7119
-0.42671,6715.5239,6631.8403
0.59424,9527.2256,8885.7246
1.6152,7341.3994,6995.7783
2.63615,7237.7783,6700.6699
3.6571,6081.4282,6201.9136
4.67805,6553.3711,5777.4165
5.699,4316.5161,4264.3262
6.71995,1145.048,787.7498
7.74091,2477.1482,1829.4156
8.76186,784.8964,307.083
9.78281,775.1517,313.6438
10.80376,769.4467,299.3773
11.82471,784.6971,351.1936
12.84567,740.0023,203.04
13.86662,749.1512,250.8302
14.88757,799.988,359.9779
15.90852,1112.4723,213.4677
16.92948,726.0262,137.9154
17.95043,724.9089,132.8588
18.97138,727.8659,140.5953
19.99233,854.4224,413.1506
21.01328,730.5406,157.9619
22.03424,725.0363,139.6711
23.05519,737.6765,212.4347
24.07614,718.0467,111.4125
25.09709,764.6984,274.9741
26.11804,723.2607,146.7027
27.13899,723.8972,100.7869
28.15995,716.3649,108.7625
29.1809,711.3218,86.5069
30.20185,769.9475,281.8695
31.2228,719.1312,126.2901
32.24376,718.3412,121.592
33.26471,728.0788,164.9456
34.28566,724.0422,138.1968
35.30661,718.4996,124.1003
36.32756,729.1808,177.2522
37.34851,714.3001,97.1077
38.36947,724.3139,153.4582
39.39042,807.4943,318.0931
40.41137,713.2623,89.8476
41.43232,966.0137,532.4198
42.45327,714.4665,103.3008
43.47423,711.8058,87.5442
44.49518,720.5331,134.6305
45.51613,787.4581,337.2152
46.53708,713.6209,85.7574
47.55804,713.7794,98.1676
48.57899,719.2643,129.9283
49.59994,719.8529,152.2056
50.62089,724.4912,139.5957
51.64184,751.3051,195.0682
52.6628,714.0457,108.0274
53.68375,716.3578,133.8216
54.7047,830.4938,398.5576
55.72565,1007.9503,751.1501
56.7466,716.0125,109.6934
57.76756,734.7049,245.5979
