Depth [m],FBE3 [unitless]
,16/07/2023 05:53:18,16/07/2023 05:53:19
-232.18282,2582.7537,3414.7627
-231.16187,2617.6614,3269.543
-230.14091,3090.7288,3336.4658
-229.11996,3259.564,2933.2073
-228.099,3405.3132,2869.1052
-227.07805,2771.7549,3008.3928
-226.0571,3330.1987,3143.6562
-225.03615,3456.6228,3726.938
-224.0152,3134.1821,3133.2166
-222.99425,3405.98,2889.2175
-221.9733,3474.7686,3730.3538
-220.95235,3286.5801,3519.3721
-219.9314,2563.2468,3158.7998
-218.91043,3447.0669,2954.7627
-217.88948,3152.8772,3300.5432
-216.86853,3291.9548,2924.3169
-215.84758,2953.9226,3208.6042
-214.82663,3140.489,3268.6267
-213.80568,2993.3774,3069.4348
-212.78473,3957.9277,3882.8118
-211.76378,2646.9678,3072.6758
-210.74283,3009.1184,3365.8586
-209.72186,3609.8723,3312.375
-208.70091,3151.884,3029.9275
-207.67996,2896.4426,2891.3066
-206.65901,2838.6274,3722.0325
-205.63806,2890.3679,3503.8655
-204.61711,3612.4417,2907.8184
-203.59616,2852.2183,2758.6638
-202.57521,3122.6187,3134.7571
-201.55426,2766.3916,3060.8457
-200.53329,3240.4592,3618.5713
-199.51234,3423.8157,3418.9282
-198.49139,3494.8135,2923.5496
-197.47044,2987.0088,3268.4976
-196.44949,2682.144,3058.9731
-195.42854,3679.9458,2709.7437
-194.40759,3012.0996,3008.3809
-193.38664,3342.5774,3162.4287
-192.36569,2958.7065,3019.3838
-191.34473,3017.8948,2102.1829
-190.32378,3296.1523,2977.4556
-189.30283,3192.3359,3348.4229
-188.28188,3284.4246,3120.0925
-187.26093,3858.8015,3127.4824
-186.23997,3430.4338,3293.4424
-185.21902,3328.2498,3295.0234
-184.19807,3349.5198,3476.927
-183.17712,3202.5229,2824.2351
-182.15616,3397.6372,3289.4263
-181.13521,3087.6318,3023.5667
-180.11426,3719.2346,3051.1948
-179.09331,3314.1792,3096.5591
-178.07236,2614.2534,2603.8296
-177.05141,3077.6792,3278.5103
-176.03046,3735.781,3543.3826
