Depth [m],FBE2 [unitless]
,16/07/2023 05:53:18,16/07/2023 05:53:19
-232.18282,1995.2744,2424.0073
-231.16187,2237.9026,2342.6448
-230.14091,2429.3054,2958.0142
-229.11996,2002.5188,1810.624
-228.099,2328.3665,2660.1602
-227.07805,2113.8115,2236.7004
-226.0571,2529.7612,2609.4485
-225.03615,2404.2527,2266.3289
-224.0152,1859.6301,1965.3934
-222.99425,2311.1206,2360.6047
-221.9733,2605.2686,2498.1802
-220.95235,2378.8245,2558.854
-219.9314,2395.6714,1563.2212
-218.91043,2018.2893,2263.793
-217.88948,2098.127,2665.3745
-216.86853,2343.4312,1811.7793
-215.84758,1713.0914,2360.6643
-214.82663,2599.8115,2786.0862
-213.80568,2102.6406,2435.0376
-212.78473,2202.8242,1610.7649
-211.76378,2073.5645,2128.9272
-210.74283,2807.1021,2123.7136
-209.72186,2262.197,2928.7175
-208.70091,1858.6608,2204.8076
-207.67996,2304.5562,2773.7161
-206.65901,1518.9487,1988.7986
-205.63806,2354.7769,2362.8225
-204.61711,2019.9884,2428.4683
-203.59616,2525.3276,1784.1154
-202.57521,2519.9849,1917.843
-201.55426,1882.1595,2656.3201
-200.53329,2059.5649,2923.9019
-199.51234,2021.495,2301.1326
-198.49139,2054.5029,2016.7235
-197.47044,2258.5442,2356.1519
-196.44949,1972.8556,2261.3784
-195.42854,2626.02,2035.1042
-194.40759,2607.6106,1730.2505
-193.38664,2105.2979,2303.9348
-192.36569,1988.4861,1729.9706
-191.34473,2023.8633,1393.1744
-190.32378,1859.7883,2292.8445
-189.30283,2348.7227,2195.3628
-188.28188,2345.479,2417.4934
-187.26093,2232.0005,2518.335
-186.23997,2327.8625,3005.5911
-185.21902,1939.6531,2913.1089
-184.19807,2797.0378,2754.3357
-183.17712,2370.5037,1999.4783
-182.15616,2397.9761,3277.6179
-181.13521,2698.7205,2058.0017
-180.11426,2299.7805,2628.6255
-179.09331,2294.1025,3028.6929
-178.07236,1807.13,2048.5901
-177.05141,2157.5698,1960.7054
-176.03046,2833.8457,2266.0088
-175.00951,2031.6134,2235.8477
-173.98856,1953.4297,2226.8184
-172.96759,2187.0024,2165.5151
-171.94664,2309.0396,3416.0842
-170.92569,1846.5402,1989.2566
-169.90474,2452.2717,2358.7522
-168.88379,2649.7727,2465.9421
-167.86284,2348.2612,2270.8037
-166.84189,2072.5693,2520.0759
-165.82094,2588.5881,2165.9878
-164.79999,2033.3251,2096.072
-163.77902,1711.03,2140.3638
-162.75807,2063.876,2702.7329
-161.73712,2131.8074,2593.3105
-160.71617,2443.449,2542.4451
-159.69522,2260.0928,1891.2729
-158.67427,2256.1809,2601.6992
-157.65332,2747.4878,1922.5623
-156.63237,2552.7717,2196.1091
-155.61142,1935.1409,2469.3411
-154.59045,2110.0886,2061.9163
-153.5695,2564.1265,2322.5803
-152.54855,2446.7932,2680.1882
-151.5276,2482.3323,1959.7926
-150.50665,2178.7964,2733.4968
-149.4857,2323.4568,2377.8196
-148.46475,1992.6257,1789.1272
-147.4438,2000.3925,1919.2216
-146.42285,2732.1333,2213.5928
-145.40189,2552.5583,2225.9487
-144.38094,2271.2783,2217.6846
-143.35999,2041.6792,2256.2349
-142.33904,1954.1738,1824.8588
-141.31808,2033.655,2416.8621
-140.29713,2117.2876,2240.179
-139.27618,2261.1685,2258.8762
-138.25523,2290.4243,2546.4514
-137.23428,1948.42,2350.5134
-136.21332,2296.7712,2179.2261
-135.19237,1901.608,2153.6956
-134.17142,2329.8606,2250.8875
-133.15047,2233.4224,2693.5234
-132.12952,2384.4136,2798.5955
-131.10857,2489.3687,1944.9287
-130.08762,2375.5972,2729.6741
-129.06667,2675.928,2952.4724
-128.04572,2660.7781,1982.5182
-127.02476,1991.6787,2280.0994
-126.00381,2447.0261,2373.9048
-124.98286,2730.3625,2755.8394
-123.9619,2487.761,1816.8097
-122.94095,2476.875,1951.785
-121.92,2336.0295,2051.4641
-120.89905,1949.0509,2025.5243
-119.87809,2481.876,2373.0508
-118.85714,2288.302,2359.7036
-117.83619,2306.092,2134.0791
-116.81524,2249.8437,1913.7806
-115.79429,2720.3162,2478.9531
-114.77333,141.77,5.7305
-113.75238,139.9922,4.5203
-112.73143,141.9165,18.163
-111.71048,142.5713,28.2203
-110.68952,142.6485,30.5568
-109.66857,127.3049,17.7472
-108.64762,153.9827,59.6725
-107.62667,142.4233,13.7269
-106.60572,139.1225,5.8473
-105.58476,133.5034,7.1519
-104.56381,1280.4761,1269.5159
-103.54286,1277.6707,1284.7139
-102.52191,1279.653,1271.5172
-101.50095,1183.1846,1274.2578
-100.48,1285.2598,1256.5645
-99.45905,346.2899,365.2385
-98.4381,194.6604,94.8946
-97.41715,146.7326,44.7028
-96.39619,177.8783,116.7674
-95.37524,148.1932,62.4501
-94.35429,154.3063,77.0184
-93.33334,134.7771,15.8262
-92.31239,145.9232,45.1646
-91.29144,138.941,17.8019
-90.27048,144.265,47.8285
-89.24953,138.9917,22.6589
-88.22858,137.4752,18.9632
-87.20763,138.2377,31.6876
-86.18668,140.1559,30.5308
-85.16573,144.6144,77.9451
-84.14478,139.9162,29.3633
-83.12382,136.4146,14.7769
