Depth,2023-07-16 05:53:18
43.47423,-37.0812
44.49518,-36.6493
45.51613,-36.5105
46.53708,-36.2967
47.55804,-36.4228
48.57899,-37.0373
49.59994,-36.5474
50.62089,-35.6114
51.64184,-36.1126
52.6628,-36.5913
53.68375,-36.6437
54.7047,-35.9158
55.72565,-34.2548
56.7466,-36.3562
57.76756,-36.8037
58.78851,-36.4766
59.80946,-37.4451
60.83041,-36.7428
61.85136,-36.2812
62.87231,-36.4482
63.89327,-36.1098
64.91422,-36.4907
65.93517,-36.6422
66.95612,-36.3619
67.97707,-36.495
68.99802,-20.2773
70.01898,-35.9895
71.03993,-35.6893
72.06088,-36.4199
73.08183,-36.5743
74.10278,-40.406
75.12374,-37.9025
76.14469,-35.6793
77.16564,-35.8719
78.18659,-36.4284
79.20755,-36.1877
80.2285,-36.1056
81.24945,-35.7261
82.2704,-36.1665
83.29135,-35.5788
84.31231,-35.1229
85.33326,-36.5898
86.35421,-35.9045
87.37516,-35.8833
88.39612,-35.6142
89.41707,-35.719
90.43802,-35.4457
91.45897,-25.0479
92.47992,-35.8365
93.50088,-35.1002
94.52183,-36.2812
95.54278,-34.7731
96.56373,0.5423
97.58469,-35.2616
98.60564,-35.4542
99.62659,-34.9982
100.64754,-34.5508
101.66849,-34.6825
102.68945,-34.9218
103.7104,-35.0648
104.73135,-33.9957
105.7523,-68.8084
106.77325,-35.0889
107.7942,-34.7986
108.81516,-34.64
109.83611,-35.1342
110.85706,-34.9416
111.87801,-34.7334
112.89896,-35.2121
113.91991,-34.5295
114.94086,-36.1183
115.96182,-63.8864
116.98277,-35.627
118.00372,-32.1804
119.02467,-35.5165
120.04562,-35.1738
121.06658,-34.9997
122.08753,-36.0433
123.10848,-35.086
124.12943,-8.1917
125.15039,-35.5052
126.17134,-35.1384
127.19229,-35.7275
128.21324,-36.4213
129.23419,-36.0574
130.25514,-36.0772
131.27609,-37.1775
132.29706,-35.6241
133.31801,-43.0398
134.33896,-37.3687
135.35991,-36.7031
136.38086,-38.0583
137.40181,-36.0418
138.42276,-36.6295
139.44371,-36.1466
140.46466,-36.4893
141.48563,-70.6889
142.50658,-36.1919
143.52753,-12.8603
144.54848,-35.5477
