Depth,2023-07-16 05:53:19
-232.18282,-1024.1588
-231.16187,-129.0514
-230.14091,621.8787
-229.11996,-372.1062
-228.099,-1021.3197
-227.07805,-715.3541
-226.0571,-663.2292
-225.03615,-164.2606
-224.0152,670.2852
-222.99425,1391.0144
-221.9733,-860.6345
-220.95235,-464.7703
-219.9314,304.1758
-218.91043,-399.9805
-217.88948,-1517.9418
-216.86853,51.9989
-215.84758,69.1426
-214.82663,-1155.7067
-213.80568,-167.3476
-212.78473,-183.9787
-211.76378,721.695
-210.74283,-584.4052
-209.72186,5.9529
-208.70091,85.8459
-207.67996,-1105.5896
-206.65901,-938.0098
-205.63806,-859.4592
-204.61711,-660.3476
-203.59616,-509.0831
-202.57521,-16.1242
-201.55426,-532.1359
-200.53329,-40.5363
-199.51234,837.2108
-198.49139,-81.0612
-197.47044,-305.6993
-196.44949,23.8698
-195.42854,-264.5429
-194.40759,-993.8292
-193.38664,-1561.4177
-192.36569,-513.6809
-191.34473,-411.9557
-190.32378,-854.1223
-189.30283,663.011
-188.28188,-1115.8997
-187.26093,-329.5677
-186.23997,632.9576
-185.21902,993.3024
-184.19807,92.8977
-183.17712,-708.5827
-182.15616,-365.5798
-181.13521,-413.8235
-180.11426,-611.3959
-179.09331,-528.6751
-178.07236,-199.3467
-177.05141,-278.0049
-176.03046,-1347.3983
-175.00951,-937.0186
-173.98856,-602.9097
-172.96759,-569.8925
-171.94664,-454.449
-170.92569,-92.5805
-169.90474,-600.8494
-168.88379,-384.924
-167.86284,-487.7621
-166.84189,-448.1208
-165.82094,-1063.752
-164.79999,550.0895
-163.77902,-581.9994
-162.75807,-1253.9342
-161.73712,-614.6088
-160.71617,-85.0586
-159.69522,-981.4106
-158.67427,557.3607
-157.65332,900.6539
-156.63237,-380.5868
-155.61142,-206.2625
-154.59045,531.1107
-153.5695,-666.1773
-152.54855,91.0484
-151.5276,56.1818
-150.50665,-239.7753
-149.4857,-439.8343
-148.46475,-1480.9584
-147.4438,236.8852
-146.42285,-1134.5868
-145.40189,-329.2194
-144.38094,-842.6752
-143.35999,-451.7189
-142.33904,-290.0524
-141.31808,-1086.9138
-140.29713,-1019.0682
-139.27618,336.754
-138.25523,403.9751
-137.23428,-8.9747
-136.21332,30.3155
-135.19237,-590.3369
-134.17142,507.922
-133.15047,-1263.0308
-132.12952,37.8699
-131.10857,-864.9533
-130.08762,-520.6576
-129.06667,-674.2033
-128.04572,-308.5045
-127.02476,450.4091
-126.00381,13.4748
-124.98286,-601.2686
-123.9619,-1277.198
-122.94095,-1134.448
-121.92,-615.1384
-120.89905,619.773
-119.87809,-1175.5719
-118.85714,-82.1445
-117.83619,-1399.3096
-116.81524,-982.2759
-115.79429,-411.6273
-114.77333,0.5423
-113.75238,-0.1331
-112.73143,1.6921
-111.71048,-0.5593
-110.68952,2.1438
-109.66857,-1.8451
-108.64762,5.0835
-107.62667,0.936
-106.60572,-0.8737
-105.58476,-0.4503
-104.56381,-18.8939
-103.54286,-23.52
-102.52191,-24.5438
-101.50095,33.7394
-100.48,-22.1946
-99.45905,97.664
-98.4381,-0.4262
-97.41715,-2.614
-96.39619,-4.2084
-95.37524,-2.5771
-94.35429,-2.7542
-93.33334,-0.9601
-92.31239,-2.1254
-91.29144,0.6953
-90.27048,-1.6482
-89.24953,-0.4885
-88.22858,0.6103
-87.20763,-0.1798
-86.18668,0.6174
-85.16573,-2.5672
-84.14478,0.6754
-83.12382,-0.0439
-82.10287,0.6117
-81.08192,-2.1665
-80.06097,2.5163
-79.04002,1.3155
-78.01906,-8.7807
-76.99811,-5.2761
-75.97716,0.4602
-74.95621,1.5689
-73.93525,-1.0181
-72.9143,1.2518
-71.89335,-1.4273
-70.8724,-0.7292
-69.85145,1.341
-68.83049,0.5154
-67.80954,-0.0283
-66.78859,6.685
-65.76764,0.9247
-64.74668,1.4542
-63.72573,0.2053
-62.70478,0.0312
-61.68383,10.4162
-60.66288,1.1526
-59.64193,1.239
-58.62097,1.6893
-57.60002,0.3243
-56.57907,-1.0379
-55.55812,-0.1104
-54.53717,-3.0671
-53.51621,0.3044
-52.49526,1.7063
-51.47431,0.8085
-50.45336,1.8989
-49.4324,0.2733
-48.41145,1.0337
-47.3905,-1.0139
-46.36955,1.0252
-45.3486,0.1784
-44.32764,1.838
-43.30669,0.4375
-42.28574,-2.1084
-41.26479,1.2574
-40.24384,-0.262
-39.22289,0.0042
-38.20193,-2.3647
-37.18098,0.4333
-36.16003,-0.1048
-35.13908,2.1608
-34.11813,1.6992
-33.09717,-1.0974
-32.07622,0.9119
-31.05527,-0.262
-30.03432,-0.0255
-29.01336,0.6457
-27.99241,0.2124
-26.97146,-0.3894
-25.95051,-1.5789
-24.92956,-0.4999
-23.90861,-0.5338
-22.88765,-2.9283
-21.8667,-1.4981
-20.84575,2.1934
-19.8248,0.8071
-18.80384,-2.7811
-17.78289,0.017
-16.76194,0.6259
-15.74099,3.0685
-14.72004,0.0651
-13.69909,0.9969
-12.67813,1.9329
-11.65718,4.0781
-10.63623,4.8583
-9.61528,-227.2507
-8.59433,1224.9301
-7.57337,203.0241
-6.55242,-289.1476
-5.53147,-145.4687
-4.51052,-294.9221
-3.48956,82.3994
-2.46861,22.9239
-1.44766,461.2246
-0.42671,538.5716
0.59424,-115.6672
1.6152,-2167.7061
2.63615,-68.0679
3.6571,-333.5014
4.67805,390.5682
5.699,-99.7243
6.71995,-12.359
7.74091,56.2399
8.76186,-1.8706
9.78281,-5.8085
10.80376,-2.7782
11.82471,-0.2478
12.84567,0.4503
13.86662,0.4432
14.88757,0.6018
15.90852,-0.143
16.92948,-0.1543
17.95043,-0.8907
18.97138,-1.1739
19.99233,1.6312
21.01328,0.2875
22.03424,-0.2959
23.05519,-1.2645
24.07614,-0.0864
25.09709,-2.495
26.11804,-1.4132
27.13899,-0.9232
28.15995,-0.1274
29.1809,-0.8199
30.20185,1.981
31.2228,-0.3158
32.24376,-1.3197
33.26471,-1.6808
34.28566,-1.8989
35.30661,-1.2149
36.32756,0.0892
37.34851,-0.6542
38.36947,-1.0153
39.39042,-0.2945
40.41137,-1.6228
41.43232,-5.6542
42.45327,-0.633
43.47423,-0.0368
44.49518,0.5933
45.51613,1.399
46.53708,-1.484
47.55804,-0.3398
48.57899,-1.7375
49.59994,-0.1997
50.62089,-2.3534
51.64184,-0.6854
52.6628,-1.7983
53.68375,-0.2676
54.7047,0.0014
55.72565,-0.4007
56.7466,-0.9006
57.76756,-0.1529
58.78851,-0.5338
59.80946,2.3024
60.83041,0.2251
61.85136,-2.3775
62.87231,0.1968
63.89327,-0.8978
64.91422,-1.2574
65.93517,-1.0946
66.95612,-0.6528
67.97707,-0.337
68.99802,-1.2291
70.01898,-1.5604
71.03993,-2.7896
72.06088,-0.7618
73.08183,-0.1713
74.10278,6.981
75.12374,-1.6851
76.14469,-0.9133
77.16564,-1.4613
78.18659,-1.375
79.20755,-0.337
80.2285,-0.5253
81.24945,-0.8638
82.2704,-0.9006
83.29135,-1.1979
84.31231,-0.7944
85.33326,-1.2957
86.35421,-0.9742
87.37516,-1.4273
88.39612,-1.2022
89.41707,-1.079
90.43802,-1.4585
91.45897,-1.0634
92.47992,-1.9923
93.50088,-1.5902
94.52183,-1.1059
95.54278,-1.8635
96.56373,-1.4741
97.58469,-1.4132
98.60564,-0.0255
99.62659,-3.0232
100.64754,-2.0051
101.66849,-2.7542
102.68945,-0.9105
103.7104,-2.015
104.73135,-3.0728
105.7523,-2.8788
106.77325,-2.2557
107.7942,-2.1141
108.81516,-2.9198
109.83611,-1.7757
110.85706,-3.6859
111.87801,-3.4083
112.89896,-1.004
113.91991,-3.3163
114.94086,-1.1866
115.96182,-2.2189
116.98277,-0.279
118.00372,-2.4214
119.02467,-1.1965
120.04562,-1.0479
121.06658,-2.226
122.08753,-1.7516
123.10848,-1.8465
124.12943,-1.3806
125.15039,-1.6553
126.17134,-1.1314
127.19229,-1.2079
128.21324,-0.7491
129.23419,-1.1866
130.25514,-1.3863
131.27609,-0.7108
132.29706,-1.9187
133.31801,-1.2079
134.33896,3.9181
135.35991,-1.045
136.38086,1.964
137.40181,-0.3752
138.42276,-0.3271
139.44371,-0.6528
140.46466,-0.2237
141.48563,-1.062
142.50658,0.4305
143.52753,-0.5423
144.54848,-0.4772
145.56943,-0.6103
146.59038,0.9147
147.61133,-2.1014
148.63228,-0.7944
149.65323,-0.6655
150.67419,-1.6072
151.69514,-0.7038
152.71609,-2.3775
153.73705,-1.188
154.758,-1.0464
155.77895,-1.4727
156.7999,-0.9247
157.82085,1.3792
158.8418,0.1416
159.86276,-1.13
160.88371,-1.4245
161.90466,-2.6522
162.92561,-0.1005
163.94656,-0.371
164.96751,421.2179
165.98846,-1.0054
167.00941,-1.4302
168.03036,-2.8858
169.05133,0.1742
170.07228,-4.3684
171.09323,-0.6726
172.11418,-2.1297
173.13513,-1.2801
174.15608,-0.5707
175.17703,-1.6199
176.19798,-1.8068
177.21893,-3.5839
178.23988,-1.1456
179.26085,-0.6372
180.2818,-0.8666
181.30275,-0.4602
182.3237,0.1388
183.34465,0.3866
184.3656,-0.1883
185.38655,0.2832
186.4075,-1.6242
187.42845,1.3565
188.44942,-1.2716
189.47037,-1.171
190.49132,-1.9668
191.51227,-0.3257
192.53322,-0.2747
193.55417,0.0623
194.57512,0.0821
195.59607,-0.1444
196.61702,1.6355
197.63799,-0.2535
198.65894,-0.0821
199.67989,-0.2436
200.70084,0.2974
201.72179,-0.6528
202.74274,0.548
203.76369,0.1671
204.78464,1.5024
205.80559,-0.1713
206.82655,-3.0218
207.8475,-0.5338
208.86845,-1.4542
209.8894,0.5112
210.91035,0.5395
211.9313,-0.1954
212.95226,-0.7321
213.97321,-1.4557
214.99416,-0.0524
