Depth (m),Temperature (°C)
0.238,23.675
0.492,23.242
0.747,22.933
1.001,22.853
1.255,22.944
1.509,23.082
1.763,23.325
2.018,23.789
2.272,24.234
2.526,24.046
2.780,23.638
3.034,23.603
3.289,23.708
3.543,23.515
3.797,22.757
4.051,21.949
4.305,21.845
4.560,22.172
4.814,22.586
5.068,23.120
5.322,23.552
5.576,23.635
5.831,23.293
6.085,22.605
6.339,22.003
6.593,21.533
6.847,21.041
7.102,20.721
7.356,20.735
7.610,21.003
7.864,21.428
8.118,21.865
8.373,22.125
8.627,22.091
8.881,21.777
9.135,21.467
9.389,21.319
9.644,21.182
9.898,20.960
10.152,20.727
10.406,20.673
10.660,20.800
10.915,21.083
11.169,21.430
11.423,21.613
11.677,21.737
11.931,21.922
12.186,22.051
12.440,22.143
12.694,22.248
12.948,22.281
13.202,22.282
13.457,22.272
13.711,22.216
13.965,22.163
14.219,22.179
14.473,22.261
14.728,22.367
14.982,22.387
15.236,22.313
15.490,22.227
15.744,22.200
15.999,22.219
16.253,22.298
16.507,22.384
16.761,22.402
17.015,22.349
17.270,22.320
17.524,22.275
17.778,22.291
18.032,22.362
18.286,22.367
18.541,22.401
18.795,22.437
19.049,22.418
19.303,22.396
19.557,22.360
19.812,22.335
20.066,22.378
20.320,22.451
20.574,22.467
20.828,22.502
21.083,22.502
21.337,22.453
21.591,22.393
21.845,22.393
22.099,22.479
22.354,22.556
22.608,22.583
22.862,22.550
23.116,22.502
23.370,22.452
23.625,22.420
23.879,22.455
24.133,22.569
24.387,22.671
24.641,22.674
24.896,22.613
25.150,22.553
25.404,22.514
25.658,22.486
25.912,22.529
26.167,22.582
26.421,22.604
26.675,22.619
26.929,22.582
27.183,22.500
27.438,22.484
27.692,22.547
27.946,22.616
28.200,22.671
28.454,22.703
28.709,22.681
28.963,22.594
29.217,22.557
29.471,22.569
29.725,22.607
29.980,22.672
30.234,22.710
30.488,22.740
30.742,22.749
30.996,22.686
31.251,22.640
31.505,22.665
31.759,22.687
32.013,22.730
32.267,22.750
32.522,22.740
32.776,22.740
33.030,22.691
33.284,22.645
33.538,22.671
33.793,22.747
34.047,22.823
34.301,22.914
34.555,22.896
34.809,22.791
35.064,22.744
35.318,22.742
35.572,22.764
35.826,22.794
36.080,22.837
36.335,22.820
36.589,22.816
36.843,22.832
37.097,22.838
37.351,22.785
37.605,22.788
37.860,22.906
38.114,22.925
38.368,22.842
38.622,22.766
38.876,22.772
39.131,22.818
39.385,22.849
39.639,22.911
39.893,22.966
40.147,22.985
40.402,22.974
40.656,22.947
40.910,22.901
41.164,22.898
41.418,22.903
41.673,22.927
41.927,22.967
42.181,22.997
42.435,22.939
42.689,22.873
42.944,22.877
43.198,22.909
43.452,22.931
43.706,22.962
43.960,23.031
44.215,22.993
44.469,22.932
44.723,22.909
44.977,22.893
45.231,22.878
45.486,22.928
45.740,22.985
45.994,22.988
46.248,22.977
46.502,22.957
46.757,22.872
47.011,22.856
47.265,22.940
47.519,23.007
47.773,23.056
48.028,23.057
48.282,23.033
48.536,22.978
48.790,22.922
49.044,22.921
49.299,22.991
49.553,23.058
49.807,23.072
50.061,23.035
50.315,22.988
50.570,22.983
50.824,22.965
51.078,22.982
51.332,23.008
51.586,23.055
51.841,23.060
52.095,23.023
52.349,23.010
52.603,23.006
52.857,23.033
53.112,23.082
53.366,23.089
53.620,23.105
53.874,23.112
54.128,23.065
54.383,23.028
54.637,23.008
54.891,22.989
55.145,23.049
55.399,23.063
55.654,23.043
55.908,23.052
56.162,23.064
56.416,23.051
56.670,23.021
56.925,23.033
57.179,23.042
57.433,23.029
57.687,23.045
57.941,23.046
58.196,22.972
58.450,22.959
58.704,23.002
58.958,23.023
59.212,23.043
59.467,23.084
59.721,23.084
59.975,23.056
60.229,23.025
60.483,23.023
60.738,23.049
60.992,23.059
61.246,23.025
61.500,23.049
61.754,23.107
62.009,23.110
62.263,23.056
62.517,22.990
62.771,23.028
63.025,23.103
63.280,23.148
63.534,23.151
63.788,23.076
64.042,23.002
64.296,23.025
64.551,23.056
64.805,23.093
