Depth (m),Temperature (°C)
101.410,22.330
101.664,22.322
101.918,22.320
102.172,22.305
102.426,22.298
102.681,22.310
102.935,22.307
103.189,22.323
103.443,22.348
103.697,22.341
103.952,22.345
104.206,22.371
104.460,22.337
104.714,22.276
104.968,22.225
105.223,22.245
105.477,22.309
105.731,22.315
105.985,22.250
106.239,22.211
106.494,22.184
106.748,22.166
107.002,22.188
107.256,22.223
107.510,22.253
107.764,22.251
108.019,22.200
108.273,22.144
108.527,22.143
108.781,22.149
109.035,22.128
109.290,22.097
109.544,22.106
109.798,22.114
110.052,22.135
110.306,22.134
110.561,22.110
110.815,22.100
111.069,22.093
111.323,22.091
111.577,22.107
111.832,22.091
112.086,22.024
112.340,21.963
112.594,21.951
112.848,21.968
113.103,21.968
113.357,21.987
113.611,22.069
113.865,22.122
114.119,22.113
114.374,22.095
114.628,22.089
114.882,22.079
115.136,22.109
115.390,22.176
115.645,22.191
115.899,22.127
116.153,22.175
116.407,22.250
116.661,22.219
116.916,22.138
117.170,22.143
117.424,22.178
117.678,22.191
117.932,22.210
118.187,22.230
118.441,22.234
118.695,22.212
118.949,22.211
119.203,22.231
119.458,22.263
119.712,22.280
119.966,22.267
120.220,22.239
120.474,22.230
120.729,22.249
120.983,22.293
121.237,22.276
121.491,22.246
121.745,22.303
122.000,22.331
122.254,22.278
122.508,22.270
122.762,22.298
123.016,22.307
123.271,22.357
123.525,22.412
123.779,22.402
124.033,22.358
124.287,22.351
124.542,22.337
124.796,22.302
125.050,22.294
125.304,22.313
125.558,22.349
125.813,22.414
126.067,22.461
126.321,22.448
126.575,22.384
126.829,22.339
127.084,22.387
127.338,22.469
127.592,22.510
127.846,22.487
128.100,22.446
128.355,22.442
128.609,22.462
128.863,22.438
129.117,22.428
129.371,22.489
129.626,22.497
129.880,22.491
130.134,22.499
130.388,22.466
130.642,22.454
130.897,22.448
131.151,22.477
131.405,22.577
131.659,22.637
131.913,22.572
132.168,22.528
132.422,22.528
132.676,22.513
132.930,22.495
133.184,22.520
133.439,22.568
133.693,22.579
133.947,22.594
134.201,22.583
134.455,22.521
134.710,22.523
134.964,22.538
135.218,22.560
135.472,22.634
135.726,22.705
135.981,22.723
136.235,22.668
136.489,22.601
136.743,22.598
136.997,22.609
137.252,22.631
137.506,22.672
137.760,22.685
138.014,22.730
138.268,22.720
138.523,22.616
138.777,22.586
139.031,22.616
139.285,22.647
139.539,22.653
139.794,22.660
140.048,22.680
140.302,22.691
140.556,22.719
140.810,22.747
141.065,22.725
141.319,22.678
141.573,22.652
141.827,22.659
142.081,22.694
142.336,22.684
142.590,22.678
142.844,22.678
143.098,22.690
143.352,22.720
143.607,22.751
143.861,22.789
144.115,22.801
144.369,22.756
144.623,22.718
144.878,22.715
145.132,22.706
145.386,22.747
145.640,22.808
145.894,22.816
146.149,22.810
146.403,22.810
146.657,22.788
146.911,22.735
147.165,22.706
147.420,22.734
147.674,22.802
147.928,22.817
148.182,22.843
148.436,22.847
148.691,22.801
148.945,22.780
149.199,22.800
149.453,22.849
149.707,22.899
149.962,22.930
150.216,22.879
150.470,22.802
150.724,22.763
150.978,22.731
151.233,22.745
151.487,22.809
151.741,22.845
151.995,22.840
152.249,22.817
152.504,22.802
152.758,22.761
153.012,22.775
153.266,22.832
153.520,22.904
153.775,22.919
154.029,22.887
154.283,22.855
154.537,22.824
154.791,22.807
155.046,22.817
155.300,22.865
155.554,22.921
155.808,22.957
156.062,22.920
156.317,22.843
156.571,22.825
156.825,22.813
157.079,22.794
157.333,22.813
157.588,22.839
157.842,22.844
158.096,22.850
158.350,22.842
158.604,22.845
158.859,22.828
159.113,22.840
159.367,22.891
159.621,22.943
159.875,22.941
160.130,22.914
160.384,22.866
160.638,22.844
160.892,22.848
161.146,22.843
161.401,22.821
161.655,22.816
161.909,22.868
162.163,22.928
162.417,22.926
162.672,22.885
162.926,22.831
163.180,22.806
163.434,22.857
163.688,22.936
163.943,22.929
164.197,22.916
164.451,22.920
164.705,22.880
164.959,22.813
165.214,22.801
165.468,22.818
165.722,22.841
165.976,22.901
166.230,22.950
166.485,22.904
166.739,22.875
166.993,22.870
167.247,22.853
167.501,22.861
167.756,22.865
168.010,22.853
168.264,22.856
168.518,22.858
168.772,22.835
169.027,22.838
169.281,22.838
169.535,22.870
169.789,22.936
170.043,22.961
170.298,22.928
170.552,22.890
170.806,22.834
171.060,22.797
171.314,22.813
171.569,22.869
171.823,22.889
172.077,22.882
172.331,22.883
172.585,22.885
172.840,22.854
173.094,22.839
173.348,22.855
173.602,22.847
173.856,22.857
174.111,22.901
174.365,22.872
174.619,22.858
174.873,22.846
175.127,22.800
175.382,22.813
175.636,22.853
175.890,22.877
176.144,22.908
176.398,22.879
176.653,22.795
176.907,22.729
177.161,22.723
177.415,22.756
177.669,22.770
177.923,22.810
178.178,22.851
178.432,22.837
178.686,22.776
178.940,22.728
179.194,22.716
179.449,22.749
179.703,22.772
179.957,22.790
180.211,22.839
180.465,22.832
180.720,22.767
180.974,22.698
181.228,22.681
181.482,22.710
181.736,22.718
181.991,22.759
182.245,22.789
182.499,22.779
182.753,22.734
183.007,22.676
183.262,22.644
183.516,22.667
183.770,22.729
184.024,22.720
184.278,22.712
184.533,22.714
184.787,22.671
185.041,22.624
185.295,22.659
185.549,22.710
185.804,22.709
186.058,22.713
186.312,22.739
186.566,22.711
186.820,22.581
187.075,22.536
187.329,22.609
187.583,22.686
187.837,22.720
188.091,22.709
188.346,22.672
188.600,22.635
188.854,22.582
189.108,22.604
189.362,22.642
189.617,22.632
189.871,22.653
190.125,22.634
190.379,22.610
190.633,22.631
190.888,22.587
191.142,22.540
191.396,22.584
191.650,22.620
191.904,22.634
192.159,22.624
192.413,22.595
192.667,22.572
192.921,22.563
193.175,22.536
193.430,22.548
193.684,22.564
193.938,22.577
194.192,22.602
194.446,22.557
194.701,22.463
194.955,22.430
195.209,22.404
195.463,22.391
195.717,22.448
195.972,22.501
196.226,22.488
196.480,22.474
196.734,22.451
196.988,22.395
197.243,22.385
197.497,22.406
197.751,22.434
198.005,22.458
198.259,22.455
198.514,22.419
198.768,22.363
199.022,22.350
199.276,22.307
199.530,22.292
199.785,22.311
200.039,22.381
200.293,22.466
200.547,22.449
200.801,22.360
201.056,22.299
201.310,22.274
201.564,22.283
201.818,22.270
202.072,22.258
202.327,22.273
202.581,22.265
202.835,22.220
203.089,22.176
203.343,22.152
203.598,22.189
203.852,22.253
204.106,22.269
204.360,22.280
204.614,22.245
204.869,22.168
205.123,22.138
205.377,22.136
205.631,22.157
205.885,22.209
206.140,22.214
206.394,22.186
206.648,22.124
206.902,22.067
207.156,22.079
207.411,22.104
207.665,22.106
207.919,22.127
208.173,22.174
208.427,22.152
208.682,22.090
208.936,22.006
209.190,21.979
209.444,22.000
209.698,22.006
209.953,22.046
210.207,22.063
210.461,22.013
210.715,21.965
210.969,21.933
211.224,21.935
211.478,21.907
211.732,21.954
211.986,22.040
212.240,22.061
212.495,22.015
212.749,21.949
213.003,21.892
213.257,21.843
213.511,21.803
213.766,21.853
214.020,21.941
214.274,21.953
214.528,21.933
214.782,21.811
215.037,21.705
215.291,21.719
215.545,21.762
215.799,21.861
216.053,21.992
216.308,22.046
216.562,21.988
216.816,21.930
217.070,21.899
217.324,21.874
217.579,21.896
217.833,21.955
218.087,22.035
218.341,22.054
218.595,21.980
218.850,21.910
219.104,21.874
219.358,21.870
219.612,21.932
219.866,22.059
220.121,22.129
220.375,22.099
220.629,22.096
220.883,22.127
221.137,22.118
221.392,22.044
221.646,21.996
221.900,22.048
222.154,22.148
222.408,22.231
222.663,22.258
222.917,22.227
223.171,22.173
223.425,22.114
223.679,22.085
223.934,22.136
224.188,22.214
224.442,22.282
224.696,22.284
224.950,22.251
225.205,22.190
225.459,22.130
225.713,22.113
225.967,22.178
226.221,22.290
226.476,22.337
226.730,22.352
226.984,22.337
227.238,22.273
227.492,22.254
227.747,22.258
228.001,22.260
228.255,22.307
228.509,22.402
228.763,22.478
229.018,22.474
229.272,22.400
229.526,22.311
229.780,22.299
230.034,22.345
230.289,22.386
230.543,22.392
230.797,22.409
231.051,22.428
231.305,22.389
231.560,22.361
231.814,22.366
232.068,22.374
232.322,22.420
232.576,22.502
232.831,22.546
233.085,22.527
233.339,22.461
233.593,22.381
233.847,22.340
234.102,22.337
234.356,22.423
234.610,22.529
234.864,22.594
235.118,22.572
235.373,22.491
235.627,22.428
235.881,22.420
236.135,22.464
236.389,22.552
236.644,22.623
236.898,22.638
237.152,22.615
237.406,22.598
237.660,22.549
237.915,22.460
238.169,22.464
238.423,22.539
238.677,22.605
238.931,22.674
239.186,22.697
239.440,22.629
239.694,22.540
239.948,22.517
240.202,22.545
240.457,22.563
240.711,22.585
240.965,22.616
241.219,22.638
241.473,22.691
241.728,22.661
241.982,22.578
242.236,22.553
242.490,22.632
242.744,22.722
242.999,22.719
243.253,22.714
243.507,22.666
243.761,22.598
244.015,22.631
244.270,22.732
244.524,22.751
244.778,22.764
245.032,22.804
245.286,22.816
245.541,22.791
245.795,22.751
246.049,22.679
246.303,22.641
246.557,22.677
246.812,22.719
247.066,22.735
247.320,22.762
247.574,22.720
247.828,22.676
248.082,22.675
248.337,22.690
248.591,22.735
248.845,22.803
249.099,22.817
249.353,22.780
249.608,22.739
249.862,22.744
250.116,22.727
250.370,22.696
250.624,22.684
250.879,22.686
251.133,22.733
251.387,22.822
251.641,22.853
251.895,22.814
252.150,22.764
252.404,22.742
252.658,22.736
252.912,22.760
253.166,22.826
253.421,22.860
253.675,22.858
253.929,22.812
254.183,22.759
254.437,22.774
254.692,22.764
254.946,22.756
255.200,22.768
255.454,22.788
255.708,22.835
255.963,22.816
256.217,22.788
256.471,22.760
256.725,22.737
256.979,22.761
257.234,22.821
257.488,22.849
257.742,22.834
257.996,22.842
258.250,22.823
258.505,22.804
258.759,22.794
259.013,22.796
259.267,22.819
259.521,22.845
259.776,22.835
260.030,22.804
260.284,22.791
260.538,22.755
260.792,22.746
261.047,22.825
261.301,22.892
261.555,22.929
261.809,22.871
262.063,22.818
262.318,22.807
262.572,22.791
262.826,22.772
263.080,22.779
263.334,22.841
263.589,22.886
263.843,22.872
264.097,22.826
264.351,22.820
264.605,22.841
264.860,22.831
265.114,22.815
265.368,22.812
265.622,22.848
265.876,22.888
266.131,22.889
266.385,22.846
266.639,22.809
266.893,22.778
267.147,22.748
267.402,22.767
267.656,22.794
267.910,22.816
268.164,22.843
268.418,22.810
268.673,22.800
268.927,22.805
269.181,22.808
269.435,22.826
269.689,22.859
269.944,22.870
270.198,22.857
270.452,22.851
270.706,22.788
270.960,22.723
271.215,22.767
271.469,22.782
271.723,22.752
271.977,22.787
272.231,22.837
272.486,22.819
272.740,22.784
272.994,22.772
273.248,22.757
273.502,22.757
273.757,22.737
274.011,22.774
274.265,22.848
274.519,22.836
274.773,22.845
275.028,22.846
275.282,22.777
275.536,22.772
275.790,22.804
276.044,22.809
276.299,22.843
276.553,22.830
276.807,22.774
277.061,22.706
277.315,22.664
277.570,22.698
277.824,22.773
278.078,22.803
278.332,22.808
278.586,22.760
278.841,22.705
279.095,22.700
279.349,22.684
279.603,22.663
279.857,22.696
280.112,22.749
280.366,22.778
280.620,22.761
280.874,22.716
281.128,22.653
281.383,22.612
281.637,22.648
281.891,22.714
282.145,22.740
282.399,22.783
282.654,22.782
282.908,22.710
283.162,22.637
283.416,22.615
283.670,22.596
283.925,22.576
284.179,22.601
284.433,22.651
284.687,22.680
284.941,22.647
285.196,22.641
285.450,22.654
285.704,22.665
285.958,22.688
286.212,22.663
286.467,22.631
286.721,22.649
286.975,22.685
287.229,22.679
287.483,22.612
287.738,22.547
287.992,22.546
288.246,22.543
288.500,22.569
288.754,22.613
289.009,22.644
289.263,22.599
289.517,22.507
289.771,22.488
290.025,22.498
290.280,22.496
290.534,22.516
290.788,22.573
291.042,22.607
291.296,22.595
291.551,22.538
291.805,22.474
292.059,22.481
292.313,22.535
292.567,22.558
292.822,22.538
293.076,22.519
293.330,22.496
293.584,22.473
293.838,22.488
294.093,22.496
294.347,22.480
294.601,22.459
294.855,22.459
295.109,22.515
295.364,22.544
295.618,22.510
295.872,22.493
296.126,22.490
296.380,22.483
296.635,22.503
296.889,22.551
297.143,22.506
297.397,22.398
297.651,22.368
297.906,22.398
298.160,22.447
298.414,22.466
298.668,22.453
298.922,22.414
299.177,22.411
299.431,22.417
299.685,22.375
299.939,22.348
300.193,22.349
300.448,22.348
300.702,22.357
300.956,22.344
301.210,22.280
301.464,22.288
301.719,22.320
301.973,22.271
302.227,22.242
302.481,22.274
302.735,22.309
302.990,22.282
303.244,22.245
303.498,22.289
303.752,22.346
304.006,22.335
304.261,22.320
304.515,22.306
304.769,22.274
305.023,22.284
305.277,22.320
305.532,22.288
305.786,22.218
306.040,22.132
306.294,22.107
306.548,22.147
306.803,22.184
307.057,22.176
307.311,22.184
307.565,22.231
307.819,22.226
308.074,22.129
308.328,22.112
308.582,22.172
308.836,22.208
309.090,22.204
309.345,22.183
309.599,22.169
309.853,22.187
310.107,22.127
310.361,22.053
310.616,22.025
310.870,22.050
311.124,22.110
311.378,22.136
311.632,22.146
311.887,22.108
312.141,22.035
312.395,22.012
312.649,22.049
312.903,22.106
313.158,22.105
313.412,22.058
313.666,22.012
313.920,21.965
314.174,21.986
314.429,22.004
314.683,21.946
314.937,21.923
315.191,21.965
315.445,21.980
315.700,21.972
315.954,21.971
316.208,21.949
316.462,21.892
316.716,21.868
316.971,21.888
317.225,21.921
317.479,21.945
317.733,21.957
317.987,21.925
318.241,21.887
318.496,21.879
318.750,21.865
319.004,21.835
319.258,21.828
319.512,21.845
319.767,21.882
320.021,21.856
320.275,21.818
320.529,21.753
320.783,21.697
321.038,21.688
321.292,21.697
321.546,21.739
321.800,21.848
322.054,21.920
322.309,21.905
322.563,21.903
322.817,21.874
323.071,21.819
323.325,21.813
323.580,21.828
323.834,21.860
324.088,21.906
324.342,21.944
324.596,21.951
324.851,21.911
325.105,21.873
325.359,21.859
325.613,21.910
325.867,21.934
326.122,21.935
326.376,21.975
326.630,21.979
326.884,21.970
327.138,21.990
327.393,21.996
327.647,21.954
327.901,21.899
328.155,21.966
328.409,22.097
328.664,22.121
328.918,22.083
329.172,22.068
329.426,22.080
329.680,22.065
329.935,22.070
330.189,22.119
330.443,22.163
330.697,22.144
330.951,22.089
331.206,22.059
331.460,22.086
331.714,22.103
331.968,22.112
332.222,22.168
332.477,22.202
332.731,22.174
332.985,22.182
333.239,22.176
333.493,22.158
333.748,22.134
334.002,22.119
334.256,22.140
334.510,22.181
334.764,22.203
335.019,22.204
335.273,22.195
335.527,22.145
335.781,22.118
336.035,22.105
336.290,22.139
336.544,22.236
336.798,22.312
337.052,22.324
337.306,22.294
337.561,22.263
337.815,22.257
338.069,22.219
338.323,22.229
338.577,22.251
338.832,22.269
339.086,22.298
339.340,22.320
339.594,22.316
339.848,22.284
340.103,22.262
340.357,22.244
340.611,22.294
340.865,22.369
341.119,22.374
341.374,22.350
341.628,22.356
341.882,22.327
342.136,22.304
342.390,22.321
342.645,22.312
342.899,22.306
343.153,22.357
343.407,22.381
343.661,22.382
343.916,22.379
344.170,22.360
344.424,22.332
344.678,22.343
344.932,22.405
345.187,22.485
345.441,22.519
345.695,22.469
345.949,22.478
346.203,22.497
346.458,22.395
346.712,22.338
346.966,22.382
347.220,22.438
347.474,22.468
347.729,22.499
347.983,22.529
348.237,22.504
348.491,22.470
348.745,22.445
349.000,22.446
349.254,22.484
349.508,22.528
349.762,22.542
350.016,22.530
350.271,22.537
350.525,22.544
350.779,22.484
351.033,22.458
351.287,22.498
351.542,22.537
351.796,22.569
352.050,22.575
352.304,22.522
352.558,22.481
352.813,22.494
353.067,22.494
353.321,22.509
353.575,22.543
353.829,22.550
354.084,22.563
354.338,22.570
354.592,22.565
354.846,22.542
355.100,22.523
355.355,22.517
355.609,22.530
355.863,22.556
356.117,22.582
356.371,22.646
356.626,22.667
356.880,22.598
357.134,22.539
357.388,22.479
357.642,22.460
357.897,22.559
358.151,22.654
358.405,22.696
358.659,22.698
358.913,22.623
359.168,22.551
359.422,22.524
359.676,22.550
359.930,22.586
360.184,22.601
360.439,22.614
360.693,22.652
360.947,22.686
361.201,22.638
361.455,22.530
361.710,22.505
361.964,22.577
362.218,22.661
362.472,22.686
362.726,22.679
362.981,22.658
363.235,22.628
363.489,22.624
363.743,22.635
363.997,22.642
364.252,22.637
364.506,22.652
364.760,22.684
365.014,22.721
365.268,22.715
365.523,22.609
365.777,22.517
366.031,22.549
366.285,22.638
366.539,22.704
366.794,22.714
367.048,22.700
367.302,22.687
367.556,22.683
367.810,22.699
368.065,22.696
368.319,22.692
368.573,22.703
368.827,22.707
369.081,22.702
369.336,22.686
369.590,22.646
369.844,22.631
370.098,22.641
370.352,22.648
370.607,22.686
370.861,22.694
371.115,22.705
371.369,22.744
371.623,22.720
371.878,22.680
372.132,22.667
372.386,22.629
372.640,22.655
372.894,22.703
373.149,22.710
373.403,22.677
373.657,22.655
373.911,22.656
374.165,22.665
374.420,22.690
374.674,22.669
374.928,22.675
375.182,22.705
375.436,22.687
375.691,22.673
375.945,22.714
376.199,22.742
376.453,22.702
376.707,22.659
376.962,22.650
377.216,22.697
377.470,22.755
377.724,22.749
377.978,22.750
378.233,22.710
378.487,22.636
378.741,22.637
378.995,22.672
379.249,22.700
379.504,22.745
379.758,22.759
380.012,22.749
380.266,22.742
380.520,22.702
380.775,22.636
381.029,22.637
381.283,22.650
381.537,22.689
381.791,22.736
382.046,22.741
382.300,22.708
382.554,22.672
382.808,22.645
383.062,22.644
383.317,22.683
383.571,22.715
383.825,22.707
384.079,22.727
384.333,22.729
384.588,22.707
384.842,22.708
385.096,22.698
385.350,22.687
385.604,22.669
385.859,22.679
386.113,22.744
386.367,22.760
386.621,22.709
386.875,22.645
387.130,22.615
387.384,22.638
387.638,22.655
387.892,22.638
388.146,22.639
388.401,22.674
388.655,22.691
388.909,22.656
389.163,22.597
389.417,22.555
389.671,22.596
389.926,22.646
390.180,22.671
390.434,22.677
390.688,22.673
390.942,22.683
391.197,22.628
391.451,22.563
391.705,22.533
391.959,22.555
392.213,22.610
392.468,22.664
392.722,22.699
392.976,22.671
393.230,22.594
393.484,22.549
393.739,22.531
393.993,22.526
394.247,22.577
394.501,22.631
394.755,22.630
395.010,22.585
395.264,22.536
395.518,22.521
395.772,22.536
396.026,22.532
396.281,22.507
396.535,22.543
396.789,22.610
397.043,22.645
397.297,22.632
397.552,22.581
397.806,22.544
398.060,22.537
398.314,22.531
398.568,22.487
398.823,22.497
399.077,22.541
399.331,22.568
399.585,22.553
399.839,22.508
400.094,22.498
400.348,22.465
400.602,22.430
400.856,22.449
401.110,22.432
401.365,22.434
401.619,22.468
401.873,22.447
402.127,22.408
402.381,22.414
402.636,22.463
402.890,22.542
403.144,22.544
403.398,22.505
403.652,22.456
403.907,22.416
404.161,22.390
404.415,22.406
404.669,22.405
404.923,22.375
405.178,22.401
405.432,22.460
405.686,22.478
405.940,22.444
406.194,22.388
406.449,22.334
406.703,22.334
406.957,22.375
407.211,22.380
407.465,22.364
407.720,22.354
407.974,22.342
408.228,22.308
408.482,22.288
408.736,22.200
408.991,22.151
409.245,22.220
409.499,22.273
409.753,22.264
410.007,22.246
410.262,22.234
410.516,22.225
410.770,22.187
411.024,22.158
411.278,22.155
411.533,22.174
411.787,22.197
412.041,22.214
412.295,22.227
412.549,22.180
412.804,22.133
413.058,22.122
413.312,22.139
413.566,22.165
413.820,22.165
414.075,22.176
414.329,22.170
414.583,22.147
414.837,22.089
415.091,22.052
415.346,22.061
415.600,22.114
415.854,22.166
416.108,22.185
416.362,22.180
416.617,22.142
416.871,22.074
417.125,22.036
417.379,22.074
417.633,22.065
417.888,22.037
418.142,22.097
418.396,22.106
418.650,22.067
418.904,22.040
419.159,21.953
419.413,21.925
419.667,21.946
419.921,21.914
420.175,21.926
420.430,21.990
420.684,22.054
420.938,22.030
421.192,21.930
421.446,21.878
421.701,21.836
421.955,21.781
422.209,21.816
422.463,21.891
422.717,21.896
422.972,21.843
423.226,21.786
423.480,21.756
423.734,21.741
423.988,21.739
424.243,21.769
424.497,21.803
424.751,21.823
425.005,21.767
425.259,21.707
425.514,21.712
425.768,21.684
426.022,21.648
426.276,21.644
426.530,21.705
426.785,21.760
427.039,21.754
427.293,21.689
427.547,21.612
427.801,21.551
428.056,21.519
428.310,21.514
428.564,21.569
428.818,21.715
429.072,21.754
429.327,21.681
429.581,21.601
429.835,21.506
430.089,21.451
430.343,21.480
430.598,21.554
430.852,21.672
431.106,21.773
431.360,21.772
431.614,21.714
431.869,21.629
432.123,21.552
432.377,21.528
432.631,21.613
432.885,21.736
433.140,21.830
433.394,21.863
433.648,21.810
433.902,21.728
434.156,21.695
434.411,21.680
434.665,21.735
434.919,21.800
435.173,21.838
435.427,21.924
